RegionName,City,State,Rent,Current Rent,total_pop,median_age,median_income,households_retirement_income,gini_index,dwellings_1_units_perc,dwellings_under_10_units_perc,unemployment_rate,average_car_per_household,Perc_commuters_under_15_min,Perc_commuters_over_45_min,Percent_pop_25_64,Associates_College_perc,Advanced_degree_perc,HS_perc,Perc_vacat_housing_units,Perc_commuter_by_public_transport,Perc_different_house_year_ago_same_city,Perc_different_house_year_ago_dif_city,perc_housing_built_2005_or_later,armed_forces_perc,mobile_homes_perc,housing_built_1939_or_earlier_perc,walk_to_work_perc,dwellings_50_or_more_units_perc,poverty_perc,employed_in_finance_information_perc,housing_per_pop,renter_occupied_units_perc,married_households_perc,pop_in_labor_force_perc,ESTAB,HIFL_hospital_count,HIFL_transit_station_count,HIFL_uni,HIFL_govbldg
7002-2016-09,Bayonne,NJ,1726.0,1351.5930495,63164.0,39.4,56744.0,4425.0,0.4299,0.22082527401676336,0.5980012894906512,0.08046011442950005,1.1965351523137742,0.24776404724516965,0.2633303748207824,0.5810904945855234,0.18719523779367994,0.059670065227028064,0.26774745107972897,0.07579339494233113,0.23417764729978835,0.020438857577100882,0.03204356912165157,0.001253671466437424,0.001377946859179822,0.00576688874561215,0.42850490722831147,0.08964293029289275,0.03778923991689949,0.12610031030333735,0.11257226732169068,0.4419922740801723,0.5483200802349738,0.38779939539570574,0.5285130770692167,1117.0,1.0,4.0,0.0,0.0
6450-2016-09,Meriden,CT,1125.0,978.0,36756.0,39.1,56211.0,2375.0,0.4118,0.5391439205955335,0.3171836228287841,0.12653770080563462,1.6101625461002596,0.32769495412844035,0.10086009174311926,0.5546033300685602,0.1377190118620089,0.06616606812493199,0.2363151594297529,0.09168734491315136,0.017373853211009174,0.06722711938186962,0.06037109587550332,0.001488833746898263,0.0013025230353610885,0.004094292803970222,0.2623449131513648,0.028211009174311925,0.0673697270471464,0.13072695614321472,0.0893434319069902,0.4385678528675591,0.32679900744416873,0.4297227154760279,0.5639623462836,761.0,1.0,0.0,0.0,0.0
64836-2016-09,Carthage,MO,727.0,690.0,23934.0,36.5,37257.0,1569.0,0.4632,0.7715173485240808,0.09766960124287934,0.10408956328645448,1.874048037492677,0.4588614631976874,0.057593951523237714,0.5024651123924124,0.10775465864460601,0.02995738280270745,0.21680454583437786,0.11600207146556188,0.0020013342228152107,0.060792178490849835,0.07282526949110052,0.002589331952356292,0.0007401924500370097,0.08979803210771621,0.18467115484205074,0.018790304647542805,0.002175038839979285,0.2315116570569065,0.040988156920799414,0.4034010194702097,0.2805800103573278,0.5090802577621558,0.4515751650371856,495.0,1.0,0.0,0.0,0.0
77057-2016-09,Houston,TX,1428.0,1313.68927725,39463.0,32.9,54614.0,1129.0,0.535,0.2656868287167892,0.1432795582032439,0.05869979361803461,1.3084534199309923,0.2410154525386313,0.1022075055187638,0.6388262423029166,0.2690368192990903,0.13280794668423587,0.08159541849327218,0.14301865460712268,0.05011037527593819,0.1544738109114867,0.07751564756860857,0.0034352306822629038,0.0,0.0018698091055355047,0.007174848893333912,0.035143487858719645,0.28995086315606383,0.21344043787851916,0.11589141133513255,0.5827483972328511,0.5724659738226725,0.28846153846153844,0.6384714796138155,2071.0,1.0,0.0,0.0,0.0
60621-2016-09,Chicago,IL,1134.0,1083.0,34418.0,31.6,19623.0,1653.0,0.5524,0.2450147390324259,0.6093867406508294,0.2725176882105096,0.6793025018953753,0.09992954438703616,0.35204321277595113,0.4560985530826893,0.06673833459236446,0.010982625370445698,0.18281131965831832,0.31385469048031905,0.3857444809769845,0.14919518856412342,0.019989540356790046,0.0012716027975261544,0.0034183957389299626,0.002601005722212589,0.4816484596266112,0.022898074213245655,0.08213398069475752,0.4539775698762276,0.04316718340090627,0.5026730199314312,0.4917056817524999,0.1295594305450257,0.36547736649427626,231.0,1.0,2.0,1.0,0.0
92672-2016-09,San Clemente,CA,2123.0,1708.0,34445.0,41.3,73980.0,2333.0,0.4909,0.5750030588523186,0.3135935397039031,0.07452736836623093,1.8199513381995132,0.3189192562086609,0.18713340821165605,0.5502975758455508,0.2505443460589345,0.10820148062128032,0.1101466105385397,0.11996818793588646,0.016598028204168228,0.06799245173464945,0.10262737697779067,0.0010400097883274196,0.027394406541325973,0.010461274929646396,0.029670867490517564,0.024397853488081867,0.023491985806925242,0.09139207432138192,0.10874433623248787,0.4745536362316737,0.4222439740609323,0.4850886339937434,0.5574393961387719,1109.0,0.0,2.0,0.0,0.0
97062-2016-09,Tualatin,OR,1518.0,1162.9986705,27309.0,34.5,65955.0,1450.0,0.4355,0.5928383168226847,0.12123966191038807,0.09735498232290166,1.810708752904725,0.3605254877281309,0.10218691000629326,0.5587901424438829,0.2580834157237541,0.06770661686623458,0.1082793218352924,0.06134690538943925,0.040512901195720576,0.028635248452890987,0.1038119301329232,0.0016359174770517132,0.0,0.023266381895846587,0.014359720076342815,0.024543738200125863,0.19358356811778607,0.12457431615950786,0.09872986774911614,0.4029074664030173,0.41143324547850585,0.5375677769171185,0.5593027939507123,1069.0,1.0,1.0,0.0,0.0
10455-2016-09,New York,NY,1668.0,1383.94992825,38114.0,28.0,21379.0,1069.0,0.4766,0.046566187970993884,0.1780179155410209,0.17567015920533405,0.2809497773959228,0.1254915668967928,0.4399196015031023,0.4758094138636722,0.06603872592748071,0.010809676234454531,0.15427402004512775,0.08979098535475613,0.6789303504325789,0.1431757359500446,0.013617043606024034,0.004052324754727712,0.002857531636957409,0.00284373666998436,0.35653348499928905,0.12522939788517,0.41269728423148017,0.3919032376554547,0.06388624302626207,0.3690507425093142,0.8429546424001138,0.18276966336015,0.3856325759563415,690.0,0.0,5.0,0.0,0.0
76010-2016-09,Arlington,TX,988.0,736.0,54169.0,25.9,31502.0,1378.0,0.4065,0.4557247320444756,0.25353100270459783,0.13368385725472648,1.6023874569426295,0.28881916973582505,0.13090528804619653,0.4698628366778047,0.04781332496446307,0.014510144178404622,0.1569347781941701,0.1566663327657017,0.0015914154503705725,0.15588251583008733,0.08805774520482194,0.0034558749874787137,0.0005220569042025581,0.00681157968546529,0.009966943804467596,0.033101441367707915,0.05699689472102575,0.31508796544148865,0.0544803669314241,0.3685871993206447,0.5340578984273264,0.4255849863404205,0.4950617511861027,780.0,0.0,0.0,0.0,0.0
11377-2016-09,New York,NY,2197.0,1654.0,87284.0,35.8,49528.0,3267.0,0.4129,0.14983828285798295,0.3800058806233461,0.07865376317573815,0.6069412828588356,0.08282954624418039,0.3644870636740555,0.6094931488016131,0.20986664222537926,0.06175244030979332,0.17723752348654964,0.057071449573654814,0.7046996965696153,0.05727281059529811,0.010677787452454058,0.0012349309026756835,0.00034929832131336166,0.0004998529844163481,0.3795648338723905,0.06441525953721075,0.18935607174360486,0.13497319096283394,0.09293390042943146,0.38964758718665504,0.6748309320788004,0.405718918581808,0.5575936024930113,1595.0,0.0,6.0,0.0,0.0
