RegionName,City,State,Rent,Current Rent,total_pop,median_age,median_income,households_retirement_income,gini_index,dwellings_1_units_perc,dwellings_under_10_units_perc,unemployment_rate,average_car_per_household,Perc_commuters_under_15_min,Perc_commuters_over_45_min,Percent_pop_25_64,Associates_College_perc,Advanced_degree_perc,HS_perc,Perc_vacat_housing_units,Perc_commuter_by_public_transport,Perc_different_house_year_ago_same_city,Perc_different_house_year_ago_dif_city,perc_housing_built_2005_or_later,armed_forces_perc,mobile_homes_perc,housing_built_1939_or_earlier_perc,walk_to_work_perc,dwellings_50_or_more_units_perc,poverty_perc,employed_in_finance_information_perc,housing_per_pop,renter_occupied_units_perc,married_households_perc,pop_in_labor_force_perc,ESTAB,HIFL_hospital_count,HIFL_transit_station_count,HIFL_uni,HIFL_govbldg
11106-2016-09,New York,NY,2223.0,1744.0,36958.0,35.9,49371.0,1815.0,0.4691,0.054922337691362164,0.37579617834394907,0.100650524033249,0.4356891092657865,0.0700374531835206,0.2947565543071161,0.6112343741544456,0.2272579685047892,0.10409113047242816,0.16478164402835652,0.06475583864118896,0.7070090957731407,0.0656961956815845,0.04134422858379783,0.004637389652475137,0.0004969280809541018,0.0,0.3417141580064812,0.08507223113964688,0.2171751033635043,0.21505492721467606,0.1212956270328876,0.4842794523513177,0.7795843110962118,0.2964334787024315,0.5989501596406732,1066.0,0.0,2.0,1.0,0.0
80112-2016-09,Centennial,CO,1727.0,1368.695971125,28476.0,37.0,81310.0,1528.0,0.42200000000000004,0.612440576907582,0.07517524776408026,0.05071560068887701,1.7845653661875427,0.31700268354778777,0.09633248469001583,0.5935875825256356,0.31064756285995226,0.15198763871330245,0.07325467059980334,0.0582547739908146,0.04727172641574348,0.025460036521983424,0.18555976963056608,0.0,0.00172219252924758,0.0,0.0005640157924421883,0.016445331314938416,0.05954395294496818,0.05629301868239922,0.17797969000534475,0.4358407079646018,0.2948996857626299,0.5036789869952087,0.5913400758533502,3015.0,1.0,2.0,0.0,1.0
94158-2016-09,San Francisco,CA,4506.8,3334.6074757500005,4340.0,30.9,64594.0,112.0,0.5072,0.015517241379310345,0.011206896551724138,0.05115452930728242,0.773972602739726,0.24427184466019414,0.20893203883495146,0.7670506912442396,0.2873271889400922,0.335483870967742,0.07165898617511521,0.05603448275862069,0.410873786407767,0.1294930875576037,0.16543778801843315,0.0,0.0,0.0,0.0,0.18524271844660195,0.9599137931034484,0.17903225806451614,0.13960923623445826,0.5345622119815668,0.6862068965517242,0.2922374429223744,0.6486175115207373,95.0,1.0,4.0,1.0,0.0
85251-2016-09,Scottsdale,AZ,1384.0,967.0,34643.0,37.6,48273.0,2334.0,0.4845,0.4770096536578671,0.17015143889829346,0.06619189307838642,1.3705046320271592,0.2886908077994429,0.05665738161559888,0.5517131888115925,0.2484195941460035,0.11638714891897352,0.12608607799555466,0.20487715605984352,0.04055710306406685,0.07623473717634154,0.14793753427820916,0.0022418447179393328,0.0031705770450221947,0.010705952326485794,0.0066340302877796594,0.03515320334261838,0.14626892986228668,0.13356233582541924,0.11365299253694942,0.6309211096036718,0.379603788260054,0.2607744979573048,0.5917790029731836,2118.0,4.0,0.0,0.0,0.0
76137-2016-09,Fort Worth,TX,1119.0,908.76605175,53252.0,32.5,65896.0,1580.0,0.3576,0.7012043493100589,0.08342678823930957,0.060282655800265185,1.9049956537301225,0.20941066011844572,0.19922721363570706,0.5704950048824458,0.19569218057537746,0.051566138361000526,0.14207917073537146,0.046418645472719296,0.007077856420626896,0.05686171411402389,0.1065124314579734,0.0055585352771953785,0.0013583001843407393,0.02798771271149252,0.005119703544785216,0.0026722519139101546,0.035496611243844164,0.07194095996394502,0.11923935189676918,0.3851310748892061,0.33570627529377345,0.5459426292376132,0.5806542477277848,650.0,0.0,1.0,1.0,0.0
38104-2016-09,Memphis,TN,810.0,601.0,23031.0,37.2,36056.0,1163.0,0.5433,0.41828273829918455,0.2412800657849654,0.06776049435329214,1.2564102564102564,0.4083726317531232,0.045420699925539834,0.6119143762754549,0.21167122573922106,0.13759715166514694,0.13355911597412184,0.17152059206468856,0.03689914784479192,0.16495158699144633,0.08466849029568843,0.0013705201123826493,0.0,0.004317138354005345,0.5384773521551429,0.04442789774137503,0.18974850955937775,0.1910468498979636,0.08153988209389873,0.6336242455820416,0.5086685397108203,0.25268817204301075,0.6113064999348704,847.0,4.0,1.0,4.0,0.0
60661-2016-09,Chicago,IL,2096.0,1888.386,7238.0,30.9,95316.0,82.0,0.4255,0.021145209580838323,0.036863772455089816,0.043652784746613146,0.7515883100381194,0.24315828402366865,0.18990384615384612,0.8075435203094777,0.405775075987842,0.31541862392926223,0.03757944183476098,0.11639221556886227,0.2507396449704142,0.14796905222437134,0.09256700746062448,0.015718562874251496,0.003010536879076769,0.007672155688622755,0.11957335329341318,0.37296597633136097,0.8493637724550899,0.11135672837800498,0.23482187656798795,0.7383255042829511,0.5370508982035929,0.2179161372299873,0.8260569218016026,989.0,0.0,2.0,0.0,0.0
15216-2016-09,Pittsburgh,PA,860.0,744.2082112500003,23194.0,39.3,49661.0,1749.0,0.4286,0.6765160625322111,0.2346675828895379,0.06719917924666569,1.3321943811693242,0.18938082282133728,0.12251628328798747,0.5808398723807882,0.2441579718892817,0.09584375269466243,0.2068207294990084,0.09500085895894177,0.18402176601533515,0.04548590152625679,0.0845908424592567,0.0,0.0,0.0,0.4931283284658993,0.04592299447604914,0.016663803470194125,0.0942053979477451,0.13066099956031071,0.5019401569371389,0.3757086411269541,0.3658883826879271,0.5883418125377253,417.0,0.0,8.0,0.0,0.0
2863-2016-09,Central Falls,RI,1168.0,942.0,19374.0,30.3,29268.0,525.0,0.4557,0.11670071501532175,0.7917517875383044,0.10555182449070964,1.19697656840514,0.19907590759075908,0.1621122112211221,0.5105811912872923,0.0536801899452875,0.017446061732218437,0.1535046970166202,0.15538815117466806,0.032211221122112214,0.030401569113244563,0.07097140497574067,0.0,0.009738079247817328,0.0,0.7945607763023493,0.04118811881188119,0.07367211440245149,0.2975121296583049,0.04689948511305127,0.40425312274181896,0.6389172625127681,0.3224489795918367,0.4611334778569217,226.0,0.0,0.0,0.0,0.0
6460-2016-09,Milford,CT,1459.0,1210.14726525,37953.0,42.3,77369.0,2815.0,0.4177,0.7193513898788311,0.14112615823235922,0.07932615901557462,1.8017472261191172,0.2834039880672005,0.15899931962108127,0.5751060522224857,0.22730745922588466,0.1302927304824388,0.1894448396701183,0.06854359705393205,0.04898728214790391,0.0450030300634996,0.0649224040260322,0.0005939653124257543,0.002588203242065114,0.010513186029935851,0.22832026609646,0.009577641701994034,0.02239249227845094,0.04971938977155956,0.09930527176134042,0.4436012963402103,0.2536231884057971,0.488394337456957,0.5802703343609201,1583.0,1.0,2.0,0.0,0.0
