RegionName,City,State,Rent,total_pop,median_age,median_income,million_dollar_housing_units,dwellings_50_or_more_units,mobile_homes,housing_built_1939_or_earlier,male_60_61,male_62_64,white_including_hispanic,black_including_hispanic,amerindian_including_hispanic,asian_including_hispanic,commute_5_9_mins,commute_35_39_mins,commute_40_44_mins,commute_60_89_mins,commute_90_more_mins,households_retirement_income,armed_forces,gini_index,poverty,walked_to_work,pop_5_years_over,speak_only_english_at_home,speak_spanish_at_home,speak_spanish_at_home_low_english,Percent_Female,families_with_young_children_summed,dwellings_1_units,dwellings_under_10_units,unemployment_rate,average_car_per_household,Perc_commuters_under_15_min,Perc_commuters_over_45_min,Percent_pop_25_64,Associates_College_perc,Advanced_degree_perc,HS_perc,Perc_vacat_housing_units,Perc_other_race,Perc_black,Perc_asian,Perc_hispanic,Perc_commuter_by_public_transport,Perc_worked_at_home,Perc_different_house_year_ago_same_city,Perc_different_house_year_ago_dif_city,perc_housing_built_2005_or_later,ESTAB,HIFL_hospital_count,HIFL_transit_station_count,HIFL_uni,HIFL_govbldg
6606-2018-09,Bridgeport,CT,1429.0,49027.0,34.0,51823.0,44.0,891.0,61.0,4010.0,500.0,634.0,22426.0,18019.0,96.0,1688.0,1958.0,519.0,816.0,1934.0,809.0,2393.0,0.0,0.4394,7333.0,448.0,46046.0,25513.0,11860.0,5589.0,0.5062924510983744,9725.0,9713.0,5776.0,0.14686214911496515,1.624227970402984,0.2365941557031827,0.19278363944249052,0.5630162971423909,0.1196891508760479,0.07236828686234116,0.22334631937503824,0.09265937968151806,0.01207497909315275,0.35392742774389624,0.03418524486507435,0.3172129642849858,0.0851895271590465,0.01015555158233506,0.07159320374487528,0.03924368205274645,0.006547189702047385,608.0,1.0,0.0,1.0,0.0
94605-2018-09,Oakland,CA,2385.0,43168.0,37.7,57610.0,148.0,117.0,4.0,4071.0,592.0,789.0,11819.0,20663.0,175.0,2500.0,599.0,447.0,726.0,1619.0,418.0,3383.0,5.0,0.4601,9445.0,157.0,40282.0,28409.0,8248.0,3636.0,0.5262694588584136,9112.0,12284.0,3438.0,0.15136907057462398,1.6610861849594858,0.138375,0.2329375,0.5399138250555967,0.16558561897701998,0.13359432913269087,0.1219653446997776,0.11675637309989945,0.009567272053372869,0.4707653817642698,0.05791326908821349,0.23345997034840624,0.149,0.0402526031623602,0.0820283543365456,0.054623795404002966,0.0013603832732004494,348.0,0.0,0.0,0.0,0.0
53211-2018-09,Shorewood,WI,1184.0,34767.0,28.2,53482.0,163.0,1406.0,30.0,8970.0,301.0,428.0,30901.0,1246.0,185.0,1355.0,2302.0,489.0,368.0,226.0,232.0,1615.0,0.0,0.5353,7320.0,2657.0,33655.0,29956.0,846.0,70.0,0.4931112836885552,3965.0,6381.0,4807.0,0.05105562777354431,1.4522498967937252,0.3487941559091364,0.0633443410387271,0.4661604394972244,0.2328644979434521,0.3005436189490034,0.0545057094371099,0.07184366817804458,0.005004745879713521,0.03583858256392556,0.03851353294791037,0.033364972531423474,0.06804763334334034,0.03814603971491327,0.13075617683435442,0.17502229125319987,0.0014049428443706493,528.0,2.0,0.0,2.0,0.0
44120-2018-09,Cleveland,OH,867.0,35768.0,40.5,29648.0,43.0,1606.0,63.0,11959.0,494.0,613.0,8021.0,25242.0,20.0,1452.0,675.0,555.0,533.0,359.0,165.0,2815.0,0.0,0.601,9918.0,308.0,33637.0,31208.0,444.0,112.0,0.5457392082308209,5925.0,9157.0,8049.0,0.14177969709871666,1.1075108702126393,0.1718773829495196,0.09165777032179352,0.5147897562066652,0.14113173786624916,0.19553791098188325,0.1703757548646835,0.2413465883416177,0.0012301498546186534,0.7027790203533885,0.04017557593379557,0.01769738313576381,0.12658227848101267,0.03594671856943008,0.07062178483560724,0.07174010288526057,0.0018526886579304112,462.0,1.0,16.0,0.0,0.0
93010-2018-09,Camarillo,CA,2031.0,43234.0,40.9,86505.0,650.0,866.0,264.0,212.0,457.0,687.0,32497.0,1145.0,127.0,3564.0,2294.0,226.0,494.0,792.0,401.0,3881.0,192.0,0.4219,2812.0,383.0,40446.0,30301.0,7338.0,2822.0,0.5131146782624786,8765.0,12665.0,1161.0,0.07253770080995213,2.007193778353856,0.3081858636034358,0.111145606954362,0.5095526668825462,0.23042050238238426,0.15702918998936022,0.13022158486376462,0.038449554433850563,0.0025442938428089003,0.024263311282786696,0.08030716565665913,0.2930795207475598,0.013712097692228087,0.04107933950865888,0.06212702965258824,0.07894249895915252,0.008662055212812363,1408.0,1.0,0.0,1.0,0.0
1801-2018-09,Woburn,MA,2300.0,39315.0,40.0,79034.0,21.0,1476.0,69.0,4059.0,380.0,605.0,33660.0,1896.0,8.0,2567.0,2085.0,587.0,837.0,1485.0,286.0,2725.0,56.0,0.3869,2614.0,414.0,36777.0,29417.0,1383.0,272.0,0.5099834668701514,7779.0,9118.0,3792.0,0.06922019924424598,1.7554691618344755,0.296960661729345,0.16533615465999807,0.5841536309296707,0.22014498283098052,0.18522192547373773,0.2432913646191021,0.05398329385363421,0.003688159735469922,0.047208444614015015,0.0652931451100089,0.04352028487854508,0.048331249398865066,0.022672621092408102,0.040951290855907416,0.0729492560091568,0.009537464156588954,2119.0,1.0,3.0,0.0,0.0
53207-2018-09,Milwaukee,WI,941.0,36790.0,36.1,54889.0,16.0,495.0,41.0,8744.0,370.0,687.0,33520.0,767.0,320.0,686.0,1730.0,597.0,475.0,356.0,248.0,2514.0,26.0,0.3769,4684.0,563.0,34283.0,29227.0,3940.0,1558.0,0.5191628159826039,7896.0,10109.0,5925.0,0.06748601383198978,1.5215715072516982,0.29353746503753864,0.07277098974434466,0.6312041315574884,0.2320467518347377,0.14908942647458548,0.19548790432182656,0.05663318323519224,0.008861103560750205,0.01772220712150041,0.018646371296547976,0.16773579777113345,0.041660532901516265,0.02330293819655522,0.0862190812720848,0.05232400108725197,0.003175152984643805,781.0,0.0,0.0,0.0,0.0
17543-2018-09,Warwick Township,PA,1090.0,42717.0,41.6,67769.0,157.0,828.0,449.0,2193.0,546.0,651.0,40295.0,744.0,117.0,774.0,2261.0,409.0,823.0,522.0,628.0,3008.0,12.0,0.4247,2316.0,427.0,39979.0,36693.0,928.0,292.0,0.5111548095605964,9491.0,13467.0,1509.0,0.04986829769186124,1.938957475994513,0.3028528149457208,0.10537742994193386,0.5191843996535337,0.194582952922724,0.13788421471545287,0.23967038883816744,0.04654895666131621,0.004518107545005501,0.014045930191726948,0.01811924994732776,0.03289088653229393,0.013279474880080787,0.04942184918969597,0.005220404054591849,0.0941545520518763,0.012365495511562928,900.0,1.0,0.0,0.0,0.0
19121-2018-09,Philadelphia,PA,1333.0,32787.0,25.9,16500.0,12.0,1108.0,5.0,8463.0,143.0,403.0,5481.0,25261.0,67.0,764.0,371.0,323.0,644.0,1181.0,584.0,1355.0,8.0,0.5265,16479.0,1058.0,30984.0,28865.0,705.0,293.0,0.5640345258791595,4176.0,10416.0,4162.0,0.20952152727853665,0.5613499463652116,0.14764813029036752,0.2933676202721526,0.4161710434013481,0.05639430261994083,0.038978863573977486,0.20996126513557206,0.2679553005134401,0.0037514868697959562,0.7643273248543629,0.021654924207765276,0.03760636837771068,0.4529090324654452,0.022685518012620816,0.13035654375209688,0.04791533229633696,0.020356387798248263,294.0,0.0,1.0,0.0,0.0
10459-2018-09,New York,NY,1803.0,48269.0,28.7,23400.0,26.0,5132.0,24.0,6132.0,586.0,664.0,6021.0,15071.0,229.0,501.0,388.0,500.0,1148.0,4035.0,962.0,815.0,0.0,0.4954,19612.0,1048.0,43903.0,13706.0,27101.0,12917.0,0.5289937641136133,12013.0,1113.0,4216.0,0.1373635153129161,0.3307836909314837,0.08738506317391016,0.4695376066679897,0.4814891545298224,0.07814539352379374,0.02867264704054362,0.14638795085872922,0.08002862424712266,0.00847334728293522,0.2606020427189293,0.008929126354388946,0.7020240734218649,0.7273930012568631,0.034780292942743006,0.0835525906896766,0.015662226273591748,0.024092074661577912,634.0,0.0,5.0,0.0,0.0
