RegionName,City,State,Rent,total_pop,median_age,median_income,million_dollar_housing_units,dwellings_50_or_more_units,mobile_homes,housing_built_1939_or_earlier,armed_forces,gini_index,poverty,walked_to_work,Percent_Female,families_with_young_children_summed,dwellings_1_units,dwellings_under_10_units,unemployment_rate,average_car_per_household,Perc_commuters_under_15_min,Perc_commuters_over_45_min,Percent_pop_25_64,Associates_College_perc,Advanced_degree_perc,HS_perc,Perc_vacat_housing_units,Perc_other_race,Perc_black,Perc_asian,Perc_hispanic,Perc_commuter_by_public_transport,Perc_worked_at_home,Perc_different_house_year_ago_same_city,Perc_different_house_year_ago_dif_city,perc_housing_built_2005_or_later
2905-2018-09,Cranston,RI,1277.0,26148.0,31.3,40251.0,26.0,443.0,25.0,990.0,0.0,0.5078,6698.0,570.0,0.5117791035643261,5940.0,4031.0,4838.0,0.15184160722084727,1.3912846118928734,0.3109989720586861,0.13008130081300814,0.48206363775432154,0.12849931161083067,0.1140431390546122,0.17259446229157105,0.09814757957220346,0.008298913874866146,0.11763806027229616,0.03816735505583601,0.4370123910050482,0.08728156247079712,0.035885864026787014,0.08295089490592014,0.09385039008719596,0.0
33916-2018-09,Fort Myers,FL,1163.0,22130.0,33.6,31741.0,0.0,1596.0,56.0,198.0,0.0,0.537,6781.0,183.0,0.5183461364663353,5115.0,4183.0,2332.0,0.0998931104848897,1.3239364428498206,0.2603319594519327,0.16909880806505515,0.5183461364663353,0.11070944419340262,0.07424310890194306,0.1929959331224582,0.2696986711585252,0.009534568459105287,0.5078626299141437,0.0018075011296882061,0.19276999548124718,0.0398796925476217,0.01574191040715188,0.08585630366018979,0.15503840939900587,0.007673591615197454
4401-2018-09,Bangor,ME,1109.0,44754.0,37.0,42351.0,19.0,686.0,1678.0,1220.0,91.0,0.474,8532.0,745.0,0.5189703713634536,8408.0,10408.0,6508.0,0.073252035950884,1.5093865325988127,0.44888093972059745,0.05636390003383768,0.541649908388077,0.1963623363274791,0.12112883764579703,0.2086517406265362,0.08795121951219512,0.006122357778075703,0.010122000268132458,0.021048397908566833,0.015641060016981723,0.010054623676705177,0.034516224313262164,0.04526969656343567,0.13833400366447693,0.0024390243902439024
20037-2019-09,Washington,DC,2468.0,14812.0,27.2,80133.0,300.0,6188.0,0.0,207.0,26.0,0.5573,2354.0,3792.0,0.5326762084796112,1011.0,362.0,546.0,0.04131403118040089,0.5315781225513242,0.2887115458875016,0.09293345346891492,0.4197272481771537,0.1400216041047799,0.5323386443424251,0.017688360788549823,0.20683654443753885,0.012017283283823926,0.07736970024304618,0.11787739670537402,0.11207129354577369,0.30557343287424377,0.04420935412026726,0.17087496624358628,0.20355117472319742,0.007209446861404599
85018-2014-09,Phoenix,AZ,999.0,37734.0,39.9,52322.0,1001.0,2101.0,111.0,401.0,0.0,0.5445,5710.0,484.0,0.5090369428101977,8081.0,11309.0,2967.0,0.08967614267097833,1.507961972667855,0.335979769466008,0.06086803105151729,0.5709439762548365,0.24699210261302804,0.18301796788042615,0.11777177081677002,0.14957049014653864,0.012773625907669476,0.032305082949064506,0.01802088302326814,0.21362696772141834,0.03028699129616561,0.07133548916453497,0.11011289553188106,0.09129697355170403,0.0022738756947953513
11010-2017-09,Franklin Square,NY,2279.0,24791.0,41.6,97741.0,10.0,25.0,13.0,2002.0,0.0,0.3852,1157.0,193.0,0.5047799604695252,5159.0,6973.0,1028.0,0.0725295360300446,1.9367573783058643,0.15467314028090862,0.2607074735564418,0.5278528498245331,0.19789439716025978,0.12097132023718285,0.2343592432737687,0.05276533946508532,0.0029042797789520392,0.018272760275906578,0.08353838086402324,0.13121697390181922,0.11739205826252817,0.015804710116579298,0.013512968415957404,0.030575612117300633,0.0007261285247488806
89104-2014-09,Las Vegas,NV,661.0,39608.0,37.3,35570.0,104.0,661.0,1910.0,123.0,15.0,0.4301,9343.0,532.0,0.46942536861240153,9061.0,7791.0,3178.0,0.16470940982459648,1.3624241569070128,0.15189952511872032,0.11553361659585104,0.5397141991516865,0.07834275903857807,0.029236517875176733,0.21306301757220764,0.1664314278993178,0.010124217329832357,0.07210664512219754,0.05953342759038578,0.5272167238941627,0.11359660084978755,0.01863974813852381,0.08533629569783882,0.1702181377499495,0.0
1757-2016-09,Milford,MA,1473.0,28391.0,38.7,68784.0,23.0,253.0,20.0,3547.0,0.0,0.4186,3047.0,229.0,0.5130851326124476,5663.0,7308.0,2983.0,0.07386046511627907,1.701171875,0.24746712653589137,0.21484515340949917,0.5622556443943503,0.22112641329998944,0.14765242506428095,0.20115529569229684,0.07021791767554479,0.022753689549505126,0.027543939980979888,0.027121270825261525,0.08463949843260188,0.020334842279226845,0.037891472868217056,0.03870945017787327,0.07241731534641259,0.006139744033206503
2035-2016-09,Foxborough,MA,1839.0,17129.0,41.9,94538.0,83.0,136.0,83.0,1090.0,0.0,0.4426,722.0,117.0,0.518127152781832,3052.0,4455.0,1421.0,0.06668696711327649,1.9640793378104013,0.25523698069046225,0.25043885313048564,0.5632552980325763,0.2992001868176776,0.17934497051783524,0.13865374511063108,0.04031774580335731,0.0015762741549419114,0.013252379006363477,0.03969875649483332,0.023352209702843133,0.05664131070801638,0.04780755176613886,0.01155934380290735,0.10450113842022302,0.005695443645083933
90291-2015-09,Los Angeles,CA,2953.0,27253.0,37.7,79736.0,2311.0,750.0,25.0,4289.0,33.0,0.5148,3589.0,711.0,0.47176457637691266,4875.0,7278.0,4861.0,0.11138419704021335,1.4563729683490163,0.2384966631541974,0.15735862311204776,0.6940153377609805,0.3528785821744395,0.27622647048031407,0.08391736689538766,0.12428990573693739,0.003082229479323377,0.0515539573624922,0.047407624848640514,0.19311635416284445,0.05100105374077977,0.1316739005386184,0.09811763842512751,0.0705977323597402,0.0053061988888195265
10065-2014-09,New York,NY,3642.0,32807.0,39.1,109960.0,2950.0,15692.0,0.0,7719.0,0.0,0.5593,1829.0,7518.0,0.5527478891699942,6590.0,448.0,1384.0,0.05029256733884617,0.3129635779918078,0.24700615556799105,0.10330162283156127,0.6157832169963727,0.343554729173652,0.49672326027981833,0.06236473923248087,0.2377858408573116,0.0037796811656049013,0.020666321211936477,0.09388240314567013,0.0454780991861493,0.4268606603245663,0.07331108854393346,0.11927332581461274,0.050812326637607826,0.0
60629-2015-09,Chicago,IL,1182.0,113833.0,29.2,40650.0,5.0,516.0,112.0,10197.0,7.0,0.4092,29166.0,1116.0,0.5170644716382772,30744.0,19572.0,13153.0,0.16477694990186176,1.4447742488704198,0.09588184354854229,0.3245934763783316,0.4984670526121599,0.06400604394156352,0.02314794479632444,0.1842699392970404,0.12930737422467264,0.0005973663173245016,0.23178691592069084,0.005885815185403178,0.6677501251833827,0.16609737323198306,0.017645825790346247,0.09025502270870486,0.010207936187221631,0.0
15221-2016-09,Wilkinsburg,PA,887.0,31046.0,41.8,38110.0,0.0,1109.0,29.0,6615.0,8.0,0.4547,6187.0,480.0,0.557946273271919,5243.0,10844.0,4648.0,0.11878453038674033,1.1175812606921964,0.17316179220584935,0.17518138978233225,0.5548862977517233,0.2052760420021903,0.20350447722734008,0.21577658957675708,0.16691333662226607,0.002480190684790311,0.4794176383431038,0.013077369065258004,0.015783031630483797,0.22971052434737077,0.04333947206875384,0.03008439090382014,0.11718095728918379,0.0028504083758153814
6492-2018-09,Wallingford,CT,1219.0,45054.0,45.7,75997.0,51.0,877.0,207.0,1035.0,9.0,0.396,1740.0,493.0,0.5186886846894837,5949.0,13356.0,3799.0,0.05714830346930995,1.9222265646809222,0.2845472525582595,0.11019864132771519,0.561770320060372,0.24224264216273805,0.18899542770897146,0.23658276734585165,0.08430470347648261,0.002574688151995383,0.015004217161628268,0.04086207661916811,0.08665157366715497,0.010577005761458423,0.0397255051467785,0.007368935055710925,0.05930660984596262,0.00040899795501022495
12189-2015-09,Watervliet,NY,997.5,17860.0,35.3,47263.0,10.0,471.0,0.0,3980.0,16.0,0.4286,2384.0,222.0,0.516013437849944,3633.0,2744.0,4073.0,0.06544782650977342,1.4202247191011237,0.2827660723933009,0.04548892490545651,0.5456326987681971,0.2259238521836506,0.11315789473684211,0.19070548712206048,0.10201793721973094,0.0015677491601343784,0.054871220604703244,0.04613661814109742,0.03891377379619261,0.04300378173960022,0.015365165807643683,0.021500559910414333,0.14669652855543114,0.005605381165919282
66614-2018-09,Topeka,KS,917.0,31705.0,40.5,56085.0,0.0,670.0,8.0,245.0,37.0,0.3862,2677.0,225.0,0.5342690427377386,7520.0,10384.0,1840.0,0.039658220388921625,1.6764323856256313,0.41117597998331945,0.04632065182523898,0.49660936760763286,0.20640277558744677,0.17306418545970667,0.17416811228512852,0.0749616180495294,0.010692319823371708,0.0607475161646428,0.0256111023497871,0.08465541712663617,0.010778212613074998,0.033529758397171476,0.08941807285917047,0.07112442832360827,0.0010012682731459848
92780-2019-09,Tustin,CA,2171.0,61615.0,34.1,67057.0,98.0,2071.0,842.0,247.0,16.0,0.4267,8685.0,530.0,0.5128458979144689,16413.0,9099.0,5166.0,0.05498088265805151,1.8228368434407511,0.2649829489820036,0.08653813688084545,0.5493142903513755,0.19954556520327843,0.11492331412805323,0.13642781790148503,0.03463648834019204,0.0035380994887608537,0.02619492006816522,0.14978495496226568,0.4875436176255782,0.028091974204004458,0.038649633954770446,0.03659823095025562,0.13089345126998295,0.01650989613952577
18018-2019-09,Bethlehem,PA,1160.0,32089.0,37.9,53094.0,0.0,1068.0,36.0,1237.0,0.0,0.4334,3187.0,550.0,0.5120757892112562,5406.0,9193.0,3366.0,0.05199724517906336,1.526102643398866,0.3387341772151899,0.12018987341772151,0.5281249026146031,0.17177225840630747,0.12736451743588145,0.2433544205179345,0.05922693266832918,0.0027112094487207455,0.05222973604662034,0.015488173517404719,0.22325407460500482,0.028481012658227847,0.027777777777777776,0.07214310199756926,0.07846925737791767,0.0031864782488223884
94014-2014-09,Daly City,CA,2116.0,47866.0,38.1,68495.0,93.0,336.0,491.0,1975.0,84.0,0.397,4286.0,624.0,0.5042410061421468,8642.0,8976.0,3250.0,0.09606048252603491,1.794134940467441,0.13076367345204198,0.18065530576686073,0.5607111519659048,0.2136380729536623,0.05070404880290812,0.16550369782308946,0.04270738056708647,0.002611456984080558,0.03307149124639619,0.5132453098232566,0.32382066602598925,0.226382219200204,0.015565355964866768,0.016358166548280616,0.07142857142857142,0.0009146555969886724
