RegionName,City,State,Rent,total_pop,median_age,median_income,million_dollar_housing_units,dwellings_50_or_more_units,mobile_homes,housing_built_1939_or_earlier,armed_forces,gini_index,poverty,walked_to_work,Percent_Female,families_with_young_children_summed,dwellings_1_units,dwellings_under_10_units,unemployment_rate,average_car_per_household,Perc_commuters_under_15_min,Perc_commuters_over_45_min,Percent_pop_25_64,Associates_College_perc,Advanced_degree_perc,HS_perc,Perc_vacat_housing_units,Perc_other_race,Perc_black,Perc_asian,Perc_hispanic,Perc_commuter_by_public_transport,Perc_worked_at_home,Perc_different_house_year_ago_same_city,Perc_different_house_year_ago_dif_city,perc_housing_built_2005_or_later,ESTAB,HIFL_hospital_count,HIFL_transit_station_count,HIFL_uni,HIFL_govbldg
6360-2017-09,Norwich,CT,1045.0,37341.0,37.1,50822.0,4.0,757.0,636.0,956.0,244.0,0.43,5802.0,374.0,0.5108593770922043,7453.0,8456.0,5607.0,0.09865646758850642,1.54094425180048,0.308909009613235,0.09825620389000672,0.5458611178061648,0.12712567954794998,0.08178677592994296,0.2603840282799068,0.12370712323964238,0.003963471787043732,0.10567472751131464,0.08596448943520528,0.1523794220829651,0.03090766823161189,0.016034127684613122,0.05599742909938138,0.0908920489542326,0.0,744.0,1.0,0.0,1.0,0.0
14608-2016-09,Rochester,NY,868.0,12377.0,31.3,20640.0,0.0,594.0,28.0,3643.0,0.0,0.5204,6103.0,155.0,0.5246828795346207,2711.0,2407.0,2622.0,0.23429998079508355,0.7359938603223329,0.3335075797177209,0.08991113434396236,0.5208855134523713,0.10220570412862567,0.07966389270420943,0.198109396461178,0.1704599713512653,0.002747030782903773,0.6658317847620586,0.059707522016643776,0.08297648864829926,0.21641400940930475,0.005953524102170156,0.17863779591177184,0.053567100266623584,0.0,290.0,0.0,0.0,0.0,0.0
20902-2015-09,Silver Spring,MD,1813.0,49074.0,34.5,76646.0,51.0,1861.0,20.0,384.0,283.0,0.4196,4812.0,375.0,0.504972082976729,14719.0,12160.0,1435.0,0.0848576876898086,1.6828180373945985,0.07948416399691796,0.3414574800275761,0.5630883971145617,0.17767045686106694,0.24057545747238865,0.13004849818641234,0.04721429818943937,0.004727554305742347,0.17610139788890247,0.11001752455475404,0.3438684435750092,0.23005799099720184,0.029557172116674905,0.02431022537392509,0.13430737253943026,0.007917564184665542,945.0,0.0,2.0,0.0,0.0
20850-2016-09,Rockville,MD,1789.0,46711.0,40.3,106006.0,942.0,2378.0,0.0,497.0,267.0,0.4204,3166.0,732.0,0.5377106034981054,9658.0,11464.0,1297.0,0.05794392523364486,1.6389905500628177,0.19511460886767296,0.3017245086655485,0.561623600436728,0.23709618719359465,0.4234120442722271,0.0753997987626041,0.04496843862486306,0.0027188456680439298,0.0988418145618805,0.2303311853738948,0.10528569287748067,0.1804068292263364,0.0645607476635514,0.037721307614908696,0.10260966367665003,0.009494496322186864,2761.0,3.0,2.0,4.0,0.0
90041-2017-09,Los Angeles,CA,2177.0,28796.0,40.5,63358.0,187.0,776.0,55.0,982.0,0.0,0.4708,3384.0,709.0,0.5208709542992083,5047.0,6747.0,1283.0,0.08476761425900857,1.782295902408508,0.2035022757077837,0.2440793026305639,0.5380955688290039,0.25076399499930546,0.1587373246284206,0.10546603694957632,0.04851190476190476,0.0016668981803028198,0.012015557716349492,0.2653146270315321,0.39772885122933743,0.062254107845406165,0.05298781666988977,0.05236838449784692,0.057785803583831084,0.0,651.0,0.0,0.0,1.0,0.0
77090-2016-09,Houston,TX,944.0,34693.0,28.8,37727.0,0.0,1168.0,139.0,60.0,0.0,0.442,7151.0,126.0,0.5351800074943072,11152.0,4185.0,2808.0,0.08420709512685391,1.3803958805054417,0.1893502026778037,0.2043360766490603,0.5285504280402387,0.14227653993601014,0.08604041161041133,0.14642723315942696,0.1875259628508694,0.00596662150866169,0.4739861067074049,0.02942956792436515,0.2898567434352751,0.033841051467878636,0.021296245993372088,0.0225117458853371,0.2649814083532701,0.01982078214942733,864.0,8.0,0.0,2.0,0.0
11412-2017-09,New York,NY,2159.0,37832.0,40.1,72458.0,10.0,78.0,30.0,2417.0,17.0,0.3897,3408.0,414.0,0.5546098540917742,6603.0,8248.0,3080.0,0.1455919395465995,1.3042958329500507,0.05124206305001671,0.5513534588392559,0.5389352928737576,0.1644903785155424,0.10546627193909916,0.21600761260308732,0.0605772554441756,0.006290970606893635,0.8715108902516389,0.024793825333051384,0.06486572213998731,0.4592848390330845,0.0181360201511335,0.029816028758722773,0.0073482765912455065,0.0,262.0,0.0,1.0,0.0,0.0
55414-2014-09,Minneapolis,MN,1256.0,27104.0,22.2,29440.0,0.0,2158.0,0.0,3561.0,0.0,0.5504,11103.0,3592.0,0.474616292798111,1446.0,2776.0,2186.0,0.09207720794523623,1.319245908431738,0.3164331041776838,0.044420941300899006,0.3105814639905549,0.12455726092089728,0.1784607438016529,0.033685064935064936,0.0734235531241002,0.0033574380165289253,0.06334858323494688,0.13592089728453366,0.028409090909090905,0.1828397673188789,0.03736954326113792,0.22454250295159384,0.28412780401416765,0.002303484019579614,661.6666666666666,1.0,2.0,1.0,0.0
78541-2014-09,Edinburg,TX,683.0,42904.0,25.1,35039.0,42.0,112.0,1410.0,78.0,0.0,0.4577,14891.0,319.0,0.4992075330971471,16460.0,7592.0,3883.0,0.1043981843794021,1.715192448531207,0.29814576831283274,0.05856434734716358,0.4497715830691777,0.08917583442103301,0.03645347753123252,0.11521070296475855,0.09970695970695972,4.661570016781652e-05,0.008810367331717323,0.009462987134066752,0.9317779228044004,0.0008567407135426227,0.01643449679136015,0.10022375536080552,0.1018553048666791,0.00673992673992674,661.6666666666666,0.0,0.0,0.0,0.0
10306-2017-09,New York,NY,1839.0,54939.0,41.9,79686.0,258.0,1317.0,0.0,1159.0,21.0,0.4384,4416.0,582.0,0.5203953475673019,9596.0,14148.0,5362.0,0.061108214791092574,1.522384368043532,0.11850936792258596,0.4304303067737286,0.5528677260234078,0.18181983654598735,0.15722892662771434,0.23544294581262856,0.06559119903855043,0.001929412621270864,0.018129197837601703,0.060248639400061886,0.14041027321210794,0.2880378834671608,0.017502048112013106,0.04155517938076776,0.00482353155317716,0.0,1107.0,0.0,5.0,0.0,0.0
6108-2015-09,East Hartford,CT,1097.0,24349.0,36.2,43098.0,0.0,871.0,76.0,2514.0,0.0,0.4161,4085.0,148.0,0.5178036058975728,4583.0,4442.0,3241.0,0.1516711375335315,1.3837258646297474,0.24268533476934126,0.10034105187578532,0.5687297219598341,0.12115487289005708,0.05396525524662204,0.2260051747505031,0.07306519815124397,0.0004106944843730749,0.2948786397798678,0.06217914493408354,0.31003326625323424,0.11093161012385568,0.009497571231784241,0.07166618752310157,0.10012731529015566,0.0,831.0,0.0,0.0,1.0,1.0
92663-2016-09,Newport Beach,CA,2262.0,22772.0,39.8,86967.0,2630.0,2072.0,358.0,320.0,41.0,0.5094,2245.0,433.0,0.4825663095028983,2649.0,5915.0,2490.0,0.09109143726656524,1.6971602996947552,0.2681153433033132,0.11592167231264976,0.5903741436852274,0.3536360442648867,0.2665554189355349,0.08268926752151766,0.11261594024460315,0.006279641665202881,0.007421394695239769,0.03794133145968734,0.0975320569119972,0.01660745269767826,0.061695946880619724,0.0738187247496926,0.16845248550851924,0.005006976935073463,1190.0,2.0,0.0,0.0,0.0
89113-2016-09,Las Vegas,NV,1250.0,25850.0,36.7,62396.0,197.0,334.0,19.0,26.0,0.0,0.491,3326.0,207.0,0.4905996131528047,5182.0,7929.0,1579.0,0.06797922144552042,1.7308505284348263,0.2717494695251335,0.04024292090436818,0.6006963249516442,0.18216634429400386,0.1036750483558994,0.18874274661508705,0.1425735738327436,0.003365570599613153,0.08576402321083172,0.18580270793036752,0.1940038684719536,0.009146118387356406,0.040979926890271266,0.05106382978723404,0.1876595744680851,0.023733494433416758,563.0,1.0,0.0,0.0,0.0
11210-2017-09,New York,NY,1916.0,67432.0,35.2,57565.0,406.0,6029.0,3.0,3151.0,8.0,0.4628,9962.0,1473.0,0.5439405623442876,14007.0,7843.0,5233.0,0.06965627849932388,0.8240820980615735,0.06937918268546206,0.4303716360529688,0.5270049827974849,0.18007770791315694,0.14607308102977815,0.1969984577055404,0.06840875292118123,0.0053535413453553215,0.582038201447384,0.04807806382726302,0.07383734725352949,0.5621529260999573,0.025409604075599862,0.03794934155890378,0.003692608850397437,0.0,1003.0,0.0,1.0,1.0,0.0
6051-2015-09,New Britain,CT,1011.0,30431.0,31.5,31626.0,11.0,1321.0,10.0,5373.0,7.0,0.4398,8990.0,350.0,0.5268640531037428,7384.0,2578.0,8393.0,0.19012426422498369,1.1827711556344578,0.3130252100840336,0.09529411764705882,0.5082645986001117,0.09253721533962077,0.03420853734678453,0.24195721468239625,0.1255913660555884,0.005257796326114817,0.11360126187111827,0.009299727251815585,0.5168085176300483,0.05302521008403362,0.010071942446043165,0.12704150372974926,0.06447372744898294,0.0025872264931992898,480.0,0.0,0.0,1.0,2.0
11214-2015-09,New York,NY,2041.0,83156.0,40.0,43398.0,587.0,5171.0,44.0,14181.0,27.0,0.4557,14823.0,2063.0,0.5126388955697725,15987.0,4591.0,16764.0,0.09436890139659662,0.5982903172776589,0.0737293548681449,0.5752653830945645,0.5447712732695176,0.1550459377555438,0.09085333589879263,0.23466737216797345,0.06510312605661943,0.0037279330415123375,0.007948915291740825,0.3383880898552119,0.13154793400355955,0.6402956474130851,0.021330317456142656,0.060212131415652514,0.006012795228245707,0.002581993667967909,1724.0,0.0,5.0,1.0,0.0
