RegionName,City,State,Rent,total_pop,median_age,median_income,million_dollar_housing_units,dwellings_50_or_more_units,mobile_homes,housing_built_1939_or_earlier,armed_forces,gini_index,poverty,walked_to_work,Percent_Female,families_with_young_children_summed,dwellings_1_units,dwellings_under_10_units,unemployment_rate,average_car_per_household,Perc_commuters_under_15_min,Perc_commuters_over_45_min,Percent_pop_25_64,Associates_College_perc,Advanced_degree_perc,HS_perc,Perc_vacat_housing_units,Perc_other_race,Perc_black,Perc_asian,Perc_hispanic,Perc_commuter_by_public_transport,Perc_worked_at_home,Perc_different_house_year_ago_same_city,Perc_different_house_year_ago_dif_city,perc_housing_built_2005_or_later,ESTAB,HIFL_hospital_count,HIFL_transit_station_count,HIFL_uni,HIFL_govbldg
63139-2016-09,Saint Louis,MO,790.0,22081.0,37.9,47156.0,17.0,284.0,49.0,5893.0,0.0,0.4152,2816.0,256.0,0.5144694533762058,3617.0,8349.0,3322.0,0.05485232067510549,1.487880948137587,0.2959582790091265,0.07400874300176394,0.6711199673927811,0.2551967755083556,0.2469091073773833,0.14691363615778272,0.1023118150547956,0.00724604863910149,0.1028033150672524,0.023459082469091074,0.03328653593587247,0.03182759414065496,0.03244103202600816,0.06775055477559894,0.09800280784384766,0.0011199104071674263,561.0,1.0,0.0,0.0,0.0
90255-2017-09,Huntington Park,CA,2465.0,76180.0,30.5,35917.0,0.0,876.0,58.0,4701.0,0.0,0.4099,20736.0,1373.0,0.4977028091362562,20045.0,10495.0,5012.0,0.12201547834678085,1.6274382314694409,0.1476588683174438,0.2147854098200631,0.5106852192176424,0.05034129692832765,0.01348122866894198,0.11881071147282753,0.032957820277705004,0.0015752165922814387,0.0025466001575216593,0.0073247571541086905,0.9715804673142556,0.1191878436859402,0.024287831384818048,0.02785508007351011,0.06756366500393804,0.0009431490699502227,918.0,1.0,0.0,1.0,0.0
60625-2016-09,Chicago,IL,1553.0,78586.0,33.4,57252.0,203.0,1165.0,23.0,18944.0,0.0,0.4734,13565.0,2525.0,0.4834830631410175,19959.0,5215.0,18413.0,0.0890602937767381,1.1534146683494602,0.10046348799368868,0.357230905773877,0.6104522434021327,0.2243911129208765,0.191853510803451,0.11710737281449622,0.09791271347248576,0.002519532741200723,0.0407833456340824,0.12959051230499072,0.37202555162497136,0.3522755288200779,0.04065246254030474,0.13429873005369913,0.04077062072124806,0.00044275774826059455,1157.0,1.0,6.0,2.0,0.0
53081-2017-09,Sheboygan,WI,702.0,43310.0,37.3,42813.0,0.0,820.0,486.0,1498.0,16.0,0.3945,6178.0,660.0,0.4989148002770722,10555.0,11398.0,5261.0,0.08156980069514717,1.5913870806209314,0.5274583663758922,0.07295796986518636,0.5209882244285384,0.14488570768875547,0.06481182175017318,0.2618563842068806,0.07901614142966948,0.001639344262295082,0.01669360424844147,0.0967444008312168,0.11182175017317016,0.006294607454401269,0.01680672268907563,0.08690833525744633,0.061394597090741174,0.0,1125.0,1.0,0.0,2.0,0.0
34207-2015-09,Bradenton,FL,1199.0,30082.0,45.4,32898.0,114.0,639.0,6600.0,174.0,30.0,0.4212,6756.0,242.0,0.5230037896416462,5732.0,6040.0,2251.0,0.1348788978594178,1.3700437150088196,0.2946297653958944,0.07963709677419355,0.4758992088292002,0.09686855927132504,0.05179176916428429,0.2915697094608071,0.27765774749321365,0.0035901868226846617,0.0712053719832458,0.017917691642842896,0.22438667641779134,0.007697947214076246,0.03310865861788016,0.020277907054052257,0.16361944019679542,0.0016619577862722287,593.0,0.0,0.0,1.0,0.0
65203-2015-09,Columbia,MO,833.0,55284.0,33.3,56313.0,65.0,483.0,129.0,1292.0,20.0,0.5058,8579.0,585.0,0.5219593372404312,12430.0,17355.0,4450.0,0.05339790359065855,1.7717663301406503,0.4235778175313059,0.07076923076923076,0.5263005571232183,0.2383872368135446,0.2893784820201143,0.08251935460531076,0.0482095926412615,0.010961580204037334,0.09134650170031113,0.0477534187106577,0.030569423341292236,0.005259391771019678,0.038710294070793634,0.1071919542724839,0.08727660806019825,0.003860052562417871,1465.0,1.0,0.0,0.0,0.0
28277-2017-09,Charlotte,NC,1237.0,67095.0,37.8,97658.0,162.0,436.0,75.0,16.0,65.0,0.4375,2222.0,195.0,0.5382964453386989,16366.0,18967.0,2928.0,0.05350678733031674,1.9160151527363585,0.20855395757182388,0.1782529976428791,0.5674938520008943,0.3291005291005291,0.2580967285192637,0.06416275430359937,0.05232202871982889,0.004337133914598703,0.06499739175795513,0.1227364185110664,0.06736716595871525,0.022956307860485768,0.10209276018099547,0.0715999701915195,0.08419405320813772,0.0014130766880537733,2027.0,0.0,0.0,0.0,0.0
94063-2017-09,Redwood City,CA,2829.0,32549.0,31.4,55605.0,127.0,960.0,774.0,1846.0,0.0,0.4478,6673.0,723.0,0.4753448646655811,8133.0,4402.0,2110.0,0.07169628823600532,1.8399001411049605,0.2796732340221048,0.11649619001853505,0.5599864819195675,0.10166210943500567,0.06602353374911672,0.16707118498264156,0.052745219000616905,0.0036560262988110243,0.028326523088266917,0.0580048542197917,0.7090233186887462,0.051142994439486514,0.02490629911739814,0.036222310977295766,0.08359703831146886,0.0044211392144766605,1533.0,1.0,1.0,0.0,0.0
78230-2016-09,San Antonio,TX,1020.0,42443.0,34.7,56996.0,81.0,838.0,35.0,68.0,103.0,0.4657,6063.0,703.0,0.515020144664609,6573.0,10357.0,3704.0,0.06297932644214738,1.6372830025417768,0.2978603072862664,0.06409652182109529,0.5403953537685837,0.2592653676695804,0.21600735103550645,0.09148740663949297,0.0929559501618758,0.0010838065169757086,0.041137525622599716,0.04170298989232618,0.4936503074711967,0.019181826750871902,0.042597532510836936,0.1555733572084914,0.08220436821148364,0.016972432061218484,1361.0,0.0,0.0,2.0,0.0
60606-2014-09,Chicago,IL,2081.0,2399.0,30.9,101912.0,23.0,1764.0,0.0,690.0,0.0,0.4139,147.0,941.0,0.4593580658607753,398.0,10.0,14.0,0.020738492665655032,0.8096862210095498,0.3379578246392897,0.18590455049944507,0.7765735723218008,0.3359733222175907,0.6123384743643184,0.01917465610671113,0.1984691088026244,0.0,0.02084201750729471,0.10962901208837016,0.05919132972071696,0.1609322974472808,0.06777946383409206,0.1137974155898291,0.17465610671112966,0.06014215418261345,1409.3741496598639,0.0,2.0,1.0,0.0
