RegionName,City,State,Rent,total_pop,median_age,median_income,million_dollar_housing_units,dwellings_50_or_more_units,mobile_homes,housing_built_1939_or_earlier,armed_forces,gini_index,poverty,walked_to_work,Percent_Female,families_with_young_children_summed,dwellings_1_units,dwellings_under_10_units,unemployment_rate,average_car_per_household,Perc_commuters_under_15_min,Perc_commuters_over_45_min,Percent_pop_25_64,Associates_College_perc,Advanced_degree_perc,HS_perc,Perc_vacat_housing_units,Perc_other_race,Perc_black,Perc_asian,Perc_hispanic,Perc_commuter_by_public_transport,Perc_worked_at_home,Perc_different_house_year_ago_same_city,Perc_different_house_year_ago_dif_city,perc_housing_built_2005_or_later,ESTAB,HIFL_hospital_count,HIFL_transit_station_count,HIFL_uni,HIFL_govbldg
30312-2020-01,Atlanta,GA,1600.0,22275.0,33.9,52003.0,23.0,5148.0,22.0,300.0,13.0,0.4997,5436.0,595.0,0.5257014590347924,2909.0,3675.0,2072.0,0.042195941013286616,1.1907387955182074,0.2341740013540961,0.13981042654028436,0.6335353535353535,0.2641975308641975,0.2932884399551066,0.1188327721661055,0.12204119274515833,0.0006285072951739617,0.491672278338945,0.03209876543209877,0.04395061728395062,0.05111712931618145,0.07782157979267046,0.10850729517396183,0.11156004489337824,0.02113433753458346,1145.6888888888889,1.0,3.0,0.0,0.0
75039-2020-01,Irving,TX,1511.0,19297.0,32.4,90961.0,61.0,5539.0,20.0,38.0,0.0,0.3877,831.0,380.0,0.4918381095507074,5544.0,1654.0,578.0,0.03953871499176277,1.4953078271630402,0.32784367266831643,0.06826521034217936,0.734466497383013,0.34041560864383064,0.458361403326942,0.0523915634554594,0.08449773413897281,0.004767580452920143,0.1624604860859201,0.3846711924133285,0.12763642016893814,0.009301134909121938,0.07256252808147373,0.10131108462455304,0.21785769808778568,0.12764350453172205,1145.6888888888889,1.0,3.0,0.0,0.0
34114-2020-01,Naples,FL,1741.0,16727.0,60.6,59800.0,81.0,548.0,2838.0,0.0,0.0,0.4732,2104.0,283.0,0.4993124887905781,1837.0,4852.0,2532.0,0.025038880248833592,1.579782099020825,0.2796942010068991,0.06582136863695692,0.38865307586536735,0.2070903329945597,0.14437735397859747,0.2505529981467089,0.4230126521842922,0.0008369701679918696,0.08644706163687453,0.008429485263346685,0.22526454235666885,0.0,0.09440124416796268,0.0,0.1172953906857177,0.06914935943343678,1145.6888888888889,1.0,0.0,0.0,0.0
92629-2020-01,Dana Point,CA,2466.0,26744.0,48.2,100243.0,1020.0,272.0,16.0,96.0,63.0,0.4917,1477.0,328.0,0.5186957822315286,4921.0,9041.0,3484.0,0.051848733599943866,1.9047119503453096,0.26232724790991296,0.2039754308138543,0.5548908166317679,0.3231005085252767,0.2699670954232725,0.0736239904277595,0.15920617420066152,0.0034400239306012557,0.012040083757104395,0.03473676338618008,0.17667514208794494,0.02346016038218734,0.11029256998526626,0.050179479509422684,0.09635806162129824,0.0031606027195883865,1145.6888888888889,0.0,0.0,0.0,0.0
77477-2020-01,Stafford,TX,1302.0,36563.0,33.7,60765.0,0.0,922.0,992.0,35.0,0.0,0.3841,5127.0,61.0,0.5003418756666576,5683.0,7022.0,1031.0,0.05578976953344576,1.8467292573086025,0.25833593019632284,0.14926768463695855,0.5788912288378962,0.2167491726608867,0.13166315674315565,0.14946804146268086,0.06186895810955961,0.000984601919973744,0.2795175450592129,0.23573010967371386,0.25719990153980804,0.011478134413628336,0.021641371557054524,0.019719388452807483,0.16363536908896972,0.009094163981382028,1145.6888888888889,1.0,0.0,2.0,0.0
77019-2020-01,Houston,TX,1387.0,21319.0,38.6,117367.0,532.0,3593.0,11.0,532.0,10.0,0.5493,2131.0,270.0,0.5109057648107322,2506.0,5974.0,1235.0,0.016280570895790002,1.5979881115683583,0.3425536973924071,0.05960212411825315,0.6398986819269197,0.3400253295182701,0.43266569726535015,0.053285801397814164,0.09207904350714048,0.01125756367559454,0.06285473052206951,0.09540785215066372,0.1205966508748065,0.016168661329951654,0.06462023954672595,0.1097143393217318,0.07800553496880716,0.05305546330122883,1145.6888888888889,0.0,0.0,0.0,0.0
78626-2020-01,Georgetown,TX,1350.0,33626.0,35.1,66823.0,11.0,459.0,810.0,503.0,66.0,0.3996,2945.0,228.0,0.5292630702432641,6110.0,8016.0,1128.0,0.049979730121040136,1.9552495697074008,0.2421557043455429,0.1733622160955757,0.5223339082852555,0.18378635579611016,0.10765479093558557,0.18583833938024147,0.06749888542131073,0.0007732112056147029,0.05614702908463689,0.01290667935526081,0.33242134062927503,0.0,0.06260496901604216,0.037322310117171235,0.1397133170760721,0.06312973695942932,1145.6888888888889,3.0,0.0,2.0,0.0
84403-2020-01,Ogden,UT,935.0,37828.0,32.6,63332.0,47.0,340.0,22.0,1549.0,49.0,0.456,5165.0,435.0,0.5048905572591731,8426.0,10725.0,2147.0,0.0390072725423384,1.9910940499040304,0.37560147183696574,0.1140107557316728,0.4979644707623983,0.17468541820873426,0.12821190652426773,0.1446811885375912,0.07604454848549337,0.004758380035952204,0.015544041450777204,0.012556836205984984,0.20096225018504807,0.020888763090857628,0.05294207394598993,0.049434281484614574,0.0937929575975468,0.005462155068454281,1145.6888888888889,2.0,0.0,0.0,0.0
5401-2020-01,Burlington,VT,1945.0,28913.0,27.1,44097.0,47.0,909.0,53.0,552.0,19.0,0.5017,7687.0,4210.0,0.4895721647701726,3658.0,3330.0,6799.0,0.0453394959832728,1.3634077079107505,0.44222361024359774,0.06552154903185509,0.4463390170511535,0.19364991526303046,0.21267250025939888,0.08290388406599107,0.0479684844739688,0.00397744959014976,0.06173693494275932,0.0637429529969218,0.027357935876595303,0.05683947532792005,0.04963134147683504,0.15512053401584064,0.2102514439871338,0.013749420670477368,1145.6888888888889,1.0,0.0,1.0,1.0
12203-2020-01,Albany,NY,1293.0,31251.0,34.1,59394.0,0.0,869.0,71.0,1390.0,26.0,0.4645,4147.0,1043.0,0.5249752007935746,4353.0,6798.0,5804.0,0.045506257110352666,1.4324364501263565,0.3659177670692784,0.06076725702484511,0.4677290326709545,0.21295318549806405,0.266647467281047,0.12166010687657995,0.07284129281234925,0.0018239416338677165,0.09366100284790886,0.07225368788198777,0.06137403603084701,0.06721321734776894,0.025142207053469853,0.06518191417874628,0.15199513615564306,0.00571979877334436,1145.6888888888889,0.0,0.0,3.0,0.0
