,RegionName,City,State,Rent,total_pop,median_age,median_income,million_dollar_housing_units,dwellings_50_or_more_units,mobile_homes,housing_built_1939_or_earlier,armed_forces,gini_index,poverty,walked_to_work,Percent_Female,families_with_young_children_summed,dwellings_1_units,dwellings_under_10_units,unemployment_rate,average_car_per_household,Perc_commuters_under_15_min,Perc_commuters_over_45_min,Percent_pop_25_64,Associates_College_perc,Advanced_degree_perc,HS_perc,Perc_vacat_housing_units,Perc_other_race,Perc_black,Perc_asian,Perc_hispanic,Perc_commuter_by_public_transport,Perc_worked_at_home,Perc_different_house_year_ago_same_city,Perc_different_house_year_ago_dif_city,perc_housing_built_2005_or_later,ESTAB,HIFL_hospital_count,HIFL_transit_station_count,HIFL_uni,HIFL_govbldg
480,75025-2020-01,Plano,TX,1515.0,53688.0,40.2,117793.0,0.0,776.0,12.0,15.0,23.0,0.4042,2250.0,101.0,0.5000745045447772,10111.0,15064.0,1396.0,0.038926862611073136,2.0133120340788078,0.15852005422215135,0.2199186667729846,0.5653218596334376,0.30395991655490984,0.3481224854716138,0.05764789152138281,0.03370208386930795,0.0029429295187006405,0.06372001192072717,0.304574579049322,0.07385263001043063,0.009887568774419904,0.0885850991114149,0.030826255401579492,0.062378930114737004,0.006483148958065346,,0.0,0.0,0.0,0.0
481,17602-2020-01,Lancaster Township,PA,1100.0,51069.0,37.4,53192.0,36.0,1304.0,66.0,1112.0,10.0,0.4736,8929.0,1632.0,0.4988349096320664,7480.0,13485.0,4034.0,0.05818404532230899,1.5368004223864835,0.3233854345585709,0.10262796289934732,0.5252697331061896,0.1501106346315769,0.1198182850653038,0.22886682723374255,0.07551129984868453,0.0022714366837024423,0.1191721004914919,0.034071550255536626,0.2740997474005757,0.03160425970456888,0.03158015617822692,0.05682507979400419,0.10282167263897864,0.009176550983550543,,0.0,0.0,2.0,0.0
482,19464-2020-01,Pottstown,PA,1173.0,46918.0,38.4,59812.0,9.0,429.0,201.0,1707.0,45.0,0.4293,5722.0,635.0,0.5137047614987851,10865.0,15550.0,2847.0,0.05942439895910202,1.7180248542835148,0.26701225673241663,0.2582699995606906,0.5377040794577774,0.17281214032993733,0.10396862611364507,0.2516305042840701,0.09373598445208553,0.0025576537789334585,0.14173664691589585,0.013001406709578412,0.05343365019821817,0.0211307824100514,0.03899483434963297,0.04158318768915981,0.08131207638859286,0.00837195395425325,,1.0,0.0,1.0,0.0
483,80123-2020-01,Denver,CO,1524.0,46586.0,42.1,78272.0,353.0,842.0,61.0,49.0,48.0,0.4325,2492.0,125.0,0.5113768084832353,7834.0,13492.0,2072.0,0.030418543760348082,1.8562754078114547,0.16101509516517173,0.19811857361627647,0.5651697935001931,0.2751685055596102,0.2095908642081312,0.12527368737388914,0.03692139954405788,0.005688404241617653,0.005452281801399562,0.050551667883054985,0.14723307431417165,0.036184642310216585,0.07527626968541835,0.02105782853217705,0.14268235092087753,0.006541778174249183,,1.0,0.0,0.0,0.0
484,55106-2020-01,Saint Paul,MN,1181.0,58160.0,29.5,50193.0,16.0,1181.0,26.0,1253.0,15.0,0.4301,12889.0,354.0,0.4930536451169189,16433.0,12815.0,3254.0,0.06664807585052984,1.6427093237876842,0.19917469050894085,0.12399292591864805,0.5105226960110041,0.13137895460797802,0.062379642365887215,0.15968019257221458,0.07735576426875837,0.00687757909215956,0.1422627235213205,0.3593363136176066,0.12431224209078405,0.06865788956573,0.027990797546012268,0.09927785419532324,0.06315337001375516,0.003921973371865002,,0.0,0.0,1.0,0.0
485,7024-2020-01,Fort Lee,NJ,2316.0,37008.0,46.3,78151.0,290.0,9059.0,57.0,1111.0,19.0,0.4784,4234.0,574.0,0.5298313878080415,6910.0,3827.0,2764.0,0.040512847459408335,1.3271028037383177,0.152830075906999,0.4182057258980336,0.5321011673151751,0.3333333333333333,0.29904345006485084,0.13583549502810202,0.08226345884129896,0.003864029399048855,0.018158236057068743,0.424529831387808,0.1433744055339386,0.2903592134361365,0.0610582733434922,0.02656182447038478,0.052123865110246435,0.02244039270687237,,0.0,0.0,0.0,0.0
486,55337-2020-01,Burnsville,MN,1343.0,45158.0,36.6,69993.0,0.0,3962.0,95.0,156.0,22.0,0.3957,3360.0,316.0,0.5145489171353913,11167.0,12566.0,774.0,0.04725890663390663,1.736120182887002,0.23308238144686744,0.12495673243336795,0.5236281500509323,0.2546392665751362,0.14597634970547854,0.1463306612338899,0.035388007980678364,0.006289029629301564,0.13942158642986846,0.046525532574516144,0.05817352407103946,0.06040152301834545,0.04591523341523342,0.04612693210505337,0.1042340227645157,0.0035177990129160977,,1.0,0.0,2.0,0.0
487,90024-2020-01,Los Angeles,CA,3027.0,50288.0,22.5,63306.0,862.0,8102.0,13.0,1113.0,18.0,0.6067,12151.0,6097.0,0.5509863188036908,3681.0,3223.0,2437.0,0.09041583470787394,1.3069247774392063,0.2792442645074224,0.10002699055330634,0.3167952593063952,0.16594416162901687,0.26366131084950684,0.02865494750238625,0.13922032503600082,0.003102131721285396,0.021695036589245945,0.27722319440025456,0.1364142538975501,0.053927125506072884,0.06914662731139856,0.2347478523703468,0.19414174355711106,0.0064287183707056154,,0.0,0.0,1.0,0.0
488,22314-2020-01,Alexandria,VA,2069.0,33926.0,39.0,125404.0,1131.0,7407.0,4.0,1839.0,882.0,0.4285,2408.0,1744.0,0.5300654365383481,6424.0,7342.0,2053.0,0.029337879059752374,1.2773271314311645,0.13252601886975976,0.2487112148623675,0.6803336673937393,0.2984436715203679,0.6102694098921181,0.057006425750162126,0.07807760694488024,0.0035960620173318397,0.13794729705830336,0.04577610092554383,0.0720391440193362,0.29082774049217003,0.07329983850708774,0.0682957024111301,0.15855096386252432,0.03284175295471185,,0.0,1.0,2.0,0.0
489,32935-2020-01,Melbourne,FL,1217.0,41550.0,42.4,47344.0,39.0,702.0,692.0,141.0,43.0,0.4329,6579.0,153.0,0.5132611311672683,6837.0,12729.0,2955.0,0.05358690418873375,1.5381041985181698,0.2250744047619048,0.08785076530612244,0.5474127557160048,0.1968471720818291,0.102719614921781,0.24117930204572804,0.1280762920426579,0.0056558363417569205,0.07588447653429603,0.023489771359807458,0.12069795427196148,0.013180272108843538,0.027684159845931637,0.028375451263537906,0.11186522262334536,0.00774200164068909,,1.0,0.0,0.0,0.0
