RegionName,City,State,Rent,total_pop,median_age,median_income,million_dollar_housing_units,dwellings_50_or_more_units,mobile_homes,housing_built_1939_or_earlier,male_60_61,male_62_64,white_including_hispanic,black_including_hispanic,amerindian_including_hispanic,asian_including_hispanic,commute_5_9_mins,commute_35_39_mins,commute_40_44_mins,commute_60_89_mins,commute_90_more_mins,households_retirement_income,armed_forces,gini_index,poverty,walked_to_work,Percent_Female,families_with_young_children_summed,dwellings_1_units,dwellings_under_10_units,unemployment_rate,average_car_per_household,Perc_commuters_under_15_min,Perc_commuters_over_45_min,Percent_pop_25_64,Associates_College_perc,Advanced_degree_perc,HS_perc,Perc_vacat_housing_units,Perc_other_race,Perc_black,Perc_asian,Perc_hispanic,Perc_commuter_by_public_transport,Perc_worked_at_home,Perc_different_house_year_ago_same_city,Perc_different_house_year_ago_dif_city,perc_housing_built_2005_or_later,ESTAB,HIFL_hospital_count,HIFL_transit_station_count,HIFL_uni,HIFL_govbldg
10467-2019-09,New York,NY,1818.0,102718.0,33.9,35381.0,46.0,12831.0,60.0,5418.0,1265.0,1613.0,21948.0,36295.0,681.0,6120.0,1190.0,1162.0,1794.0,12230.0,3757.0,3803.0,0.0,0.47600000000000003,30253.0,3490.0,0.5173095270546545,24642.0,2068.0,8671.0,0.14082122195569352,0.4966010733452594,0.09001849352726546,0.5575798470535313,0.5352323838080959,0.1304445180007399,0.06626881364512549,0.196985922623104,0.045298089807929785,0.007467045697930255,0.3085437800580229,0.058957534219903025,0.5229171128721354,0.6458239616134352,0.02624523775927755,0.08186491169999416,0.010504488015732394,0.0037310491605139382,2258.0,1.0,7.0,0.0,0.0
78660-2019-09,Pflugerville,TX,1341.0,85450.0,34.3,81693.0,0.0,602.0,1557.0,58.0,926.0,743.0,55940.0,13462.0,509.0,8032.0,2658.0,1399.0,1441.0,2082.0,749.0,4921.0,172.0,0.3685,6165.0,219.0,0.5126506729081334,20610.0,24183.0,1422.0,0.04890342756038349,1.9779409181917171,0.16898599127933944,0.1700992670934224,0.5874780573434757,0.23922761849034524,0.12653013458162668,0.1399297834991223,0.03720112279752443,0.004306612053832651,0.14488004681100058,0.09061439438267993,0.3200117027501463,0.004545876240838668,0.05295642513269967,0.018864833235810414,0.11166764189584552,0.05126991105549731,2400.0,1.0,0.0,1.0,0.0
94109-2019-09,San Francisco,CA,3459.0,56587.0,36.9,79979.0,719.0,10513.0,15.0,1736.0,634.0,1273.0,34621.0,2349.0,191.0,14606.0,958.0,879.0,1831.0,2891.0,1245.0,3052.0,51.0,0.5376,6718.0,10025.0,0.4728294484598936,4508.0,1031.0,7631.0,0.041220748630242214,0.5612697072920749,0.1344952414316576,0.1873941729433059,0.7098980331171469,0.379026984996554,0.3783201088589252,0.08973792567197413,0.1029232807809838,0.006732995210914168,0.040115220810433484,0.2558538180147384,0.10318624419036176,0.3799848192911777,0.06477546213323775,0.09496880909042713,0.09274214925689646,0.002379729035398469,3519.0,2.0,24.0,2.0,0.0
10016-2019-09,New York,NY,3569.0,51448.0,33.3,109250.0,1320.0,26395.0,31.0,1885.0,470.0,596.0,36391.0,1780.0,69.0,10475.0,2077.0,1172.0,1050.0,1215.0,616.0,3015.0,46.0,0.5047,5325.0,15023.0,0.5414204633805006,5984.0,464.0,2344.0,0.044210767599782236,0.20407238241344444,0.19478587139345324,0.11223961702678224,0.6488493235888664,0.377973876535531,0.4226986471777329,0.055434613590421386,0.19028260071708875,0.010282226714352357,0.03080780593997823,0.20239853832996424,0.09382288913077283,0.4127636175443136,0.058966791782470426,0.10239465090965637,0.05331596952262479,0.00880833403912933,11552.0,2.0,2.0,5.0,0.0
60647-2019-09,Chicago,IL,1685.0,87707.0,31.6,68223.0,363.0,1550.0,41.0,1357.0,671.0,834.0,66653.0,5901.0,294.0,2678.0,1596.0,2196.0,3499.0,4627.0,1008.0,1512.0,8.0,0.4891,14473.0,1789.0,0.4985462961907259,19596.0,6543.0,24212.0,0.04828611820001102,1.1444045429330532,0.10767177005548373,0.2518668390972425,0.6355136990206027,0.2574822990183224,0.21992543354578312,0.13733225398200827,0.10198998453108203,0.0020522877307398496,0.058763838690184374,0.0281847515021606,0.4728926995564778,0.3440615744024029,0.056805037912864675,0.1367165676627863,0.04201489048764637,0.008258829081565769,3709.0,0.0,3.0,0.0,0.0
11201-2019-09,New York,NY,3011.0,61907.0,35.0,116446.0,1564.0,14284.0,55.0,1554.0,503.0,756.0,39710.0,8353.0,124.0,7233.0,1136.0,2654.0,2980.0,1909.0,701.0,2817.0,9.0,0.5289,8224.0,3878.0,0.5152890626261973,15655.0,1270.0,6882.0,0.06261234272019173,0.38000965717044893,0.09576219216989962,0.22267049672400996,0.6397661007640493,0.28646195099100263,0.457848062416205,0.07653415607281891,0.09784539087893307,0.003036813284442793,0.12557545996413974,0.11636810053790365,0.12320093042789992,0.7505083432850272,0.07941609020099134,0.1073384269953317,0.061285476601999775,0.02405924337365546,6378.0,2.0,12.0,6.0,2.0
11235-2019-09,New York,NY,2158.0,80222.0,44.3,49653.0,683.0,15984.0,40.0,4340.0,884.0,1483.0,61548.0,2046.0,269.0,11422.0,668.0,615.0,1527.0,9715.0,3145.0,4890.0,49.0,0.5227,15597.0,3313.0,0.5272244521452968,15239.0,5026.0,9779.0,0.0683512516675822,0.6717436334836115,0.09201582938102287,0.5257227441621606,0.5254045025055472,0.269701578120715,0.2395602203884221,0.1690808007778415,0.0844744401372117,0.0055595721871805745,0.02266211263743113,0.14183141781556186,0.08750716760988257,0.5198018306497899,0.044835072850453836,0.08148637530851886,0.008077584702450699,0.003541846780266057,5632.0,1.0,3.0,1.0,0.0
11375-2019-09,New York,NY,1999.0,72937.0,41.9,76467.0,973.0,20717.0,53.0,8333.0,902.0,855.0,45164.0,1896.0,240.0,20712.0,554.0,1120.0,3802.0,7687.0,1245.0,4470.0,19.0,0.4697,6915.0,1956.0,0.5383961501021429,16681.0,6070.0,3079.0,0.046775518586978836,0.7036501292625877,0.050937491027076696,0.5114422718006144,0.572864252711244,0.2936369743751457,0.3565405761136323,0.11736155860537174,0.07722018687342024,0.003345352838751251,0.023211812934450283,0.28216131730123256,0.1506916928307992,0.6470267321331151,0.03943314849044978,0.07576401552024349,0.0143685646516857,0.0004544034534662464,4352.0,1.0,5.0,2.0,0.0
90250-2019-09,Hawthorne,CA,2165.0,97371.0,33.2,49417.0,164.0,4095.0,178.0,4195.0,829.0,1049.0,32811.0,21605.0,435.0,7358.0,2727.0,1253.0,2007.0,3959.0,1139.0,3223.0,27.0,0.4397,15877.0,744.0,0.5055406640580871,25237.0,13988.0,7458.0,0.09130813110316156,1.643508467216674,0.2038769754219457,0.1965572816403277,0.5516221462242351,0.14297891569358434,0.0654815088681435,0.15705908329995585,0.045642907885389536,0.005864169003091268,0.21599860328023746,0.07408776740507954,0.5490649166589642,0.06471325603259166,0.019955525476167458,0.031467274650563315,0.08885602489447576,0.004499171205304286,2477.0,1.0,1.0,0.0,0.0
78130-2019-09,New Braunfels,TX,1143.0,70055.0,36.2,60370.0,50.0,950.0,2805.0,880.0,911.0,848.0,63070.0,1401.0,166.0,937.0,4413.0,859.0,774.0,1834.0,640.0,4127.0,44.0,0.4088,7196.0,314.0,0.5174220255513525,16812.0,19230.0,2535.0,0.0361237412480125,1.8833987346840717,0.3591586878041124,0.17498037984617798,0.5209763757048034,0.1896367140104204,0.08180715152380273,0.19162086931696526,0.10368589168431253,0.00371136963814146,0.018171436728284918,0.013061166226536292,0.3664406537720363,0.0013498665829540105,0.05118692292672041,0.06118050103490115,0.10323317393476554,0.0420270609769228,3938.0,4.0,0.0,0.0,0.0
