RegionName,City,State,Rent,total_pop,median_age,median_income,million_dollar_housing_units,dwellings_50_or_more_units,mobile_homes,housing_built_1939_or_earlier,armed_forces,gini_index,poverty,walked_to_work,Percent_Female,families_with_young_children_summed,dwellings_1_units,dwellings_under_10_units,unemployment_rate,average_car_per_household,Perc_commuters_under_15_min,Perc_commuters_over_45_min,Percent_pop_25_64,Associates_College_perc,Advanced_degree_perc,HS_perc,Perc_vacat_housing_units,Perc_other_race,Perc_black,Perc_asian,Perc_hispanic,Perc_commuter_by_public_transport,Perc_worked_at_home,Perc_different_house_year_ago_same_city,Perc_different_house_year_ago_dif_city,perc_housing_built_2005_or_later
77004-2020-01,Houston,TX,1338.0,36959.0,28.1,50485.0,6.0,4203.0,65.0,2235.0,0.0,0.5651,6867.0,1444.0,0.4931681051976515,4848.0,7393.0,3506.0,0.0867231055131117,1.2581313286284137,0.3002011091474191,0.09769029191297458,0.47685272869936957,0.15831056035065882,0.21015178982115318,0.10089558700181282,0.2167748137466955,0.009091155063719256,0.4855109716171974,0.09959685056413864,0.13512270353635109,0.08647693339021269,0.047646087136072685,0.1642631023566655,0.09894748234530155,0.027697668829608266
94066-2020-01,San Bruno,CA,2866.0,43124.0,39.6,102081.0,1965.0,1711.0,30.0,1834.0,75.0,0.4161,2158.0,551.0,0.5093451442352287,7896.0,9466.0,2538.0,0.04388266157882185,1.9419193624636997,0.21502568120484025,0.20140158439975625,0.5849874779705037,0.2803543270568593,0.160166032835544,0.12248399962897691,0.028284551778448616,0.00804656339857156,0.012522029496336146,0.30400704943882756,0.27509043687969575,0.14041960477061025,0.024564750775101358,0.01472497912995084,0.07768296076430758,0.002953143457146607
33134-2020-01,Coral Gables,FL,2014.0,41861.0,44.2,67818.0,711.0,2867.0,120.0,3311.0,15.0,0.5133,4324.0,556.0,0.5269821552280165,7363.0,10542.0,2354.0,0.03626101086119901,1.5710868498527968,0.19193067197045036,0.1300374106170384,0.5711043692219488,0.2730703996560044,0.2814552925157067,0.1474642268459903,0.12905982905982907,0.0006927689257303935,0.004897159647404506,0.013735935596378491,0.7869616110460811,0.037031775346876926,0.04250406225947148,0.03322901985141301,0.07266907145075369,0.00844017094017094
77064-2020-01,Houston,TX,1223.0,49790.0,34.6,70324.0,15.0,1261.0,665.0,19.0,0.0,0.4026,6297.0,170.0,0.5046595701948182,9981.0,11842.0,969.0,0.043067846607669616,1.9096186751405524,0.14960058097313,0.2404179778907448,0.5651134766017273,0.1870857601928098,0.09773046796545491,0.15967061658967663,0.05229628771645335,0.012833902390038161,0.13418357099819242,0.16513356095601525,0.3748945571399879,0.0121439522310982,0.030567846607669615,0.01620807391042378,0.09289013858204459,0.008513349163143568
84119-2020-01,West Valley City,UT,1084.0,53910.0,31.4,53166.0,0.0,646.0,1502.0,443.0,13.0,0.3849,7612.0,592.0,0.46720460025969207,13887.0,9751.0,3201.0,0.042454281319432574,1.8244649402861535,0.29766256785199957,0.07540341937151508,0.5294565015767019,0.11853088480801335,0.050732702652569094,0.1936931923576331,0.04768875626372389,0.020107586718605082,0.025412724911890186,0.05464663327768503,0.3994064181042478,0.04335142719988184,0.020372585882755083,0.0524021517343721,0.1315525876460768,0.022239738753448566
92672-2020-01,San Clemente,CA,2330.0,34110.0,45.6,81347.0,1627.0,480.0,153.0,652.0,365.0,0.493,2663.0,380.0,0.5075344473761361,5200.0,9619.0,4977.0,0.05390086091652853,1.919255094869993,0.2969716289448518,0.18565508447561363,0.5521547933157431,0.3090589270008795,0.1756376429199648,0.09700967458223395,0.15987719919707166,0.003430079155672823,0.003664614482556435,0.028965112870126063,0.2031955438287892,0.02263308893847625,0.0981230950216566,0.049164467897977134,0.09914980944004691,0.0070256228598417755
78744-2020-01,Austin,TX,1347.0,48969.0,29.4,49633.0,0.0,630.0,1607.0,71.0,0.0,0.4005,11107.0,278.0,0.4929649370009598,13228.0,8624.0,1851.0,0.045538319766548915,1.782661371743959,0.16627058224410118,0.18209981327448652,0.5470603851416203,0.1264473442381915,0.04845922930833793,0.1691274071351263,0.058730359858084134,0.002532214257999959,0.07245400151116012,0.011537911740080458,0.7530070044313749,0.03933967068409438,0.030448471816925202,0.11427637893361106,0.06322367211909576,0.06177141409021794
94601-2020-01,Oakland,CA,2469.0,52299.0,33.0,46830.0,64.0,714.0,125.0,1914.0,0.0,0.468,14657.0,899.0,0.5000860437102048,11741.0,7535.0,5049.0,0.08862800990173281,1.4878159429682436,0.16291245050593928,0.24601847778266608,0.5614447694984608,0.12866402799288706,0.07109122545364156,0.12981127746228419,0.0642246346048881,0.005353830857186562,0.18811067133214784,0.1695634715768944,0.501577468020421,0.21588209414870216,0.03173055284674818,0.08101493336392665,0.05355742939635557,0.0025471526472193584
60645-2020-01,Chicago,IL,1471.0,47732.0,35.6,53340.0,69.0,1922.0,54.0,2412.0,0.0,0.4851,9927.0,1247.0,0.5026397385401827,13736.0,5149.0,7221.0,0.08606341976173791,1.267917563826515,0.17884850959575338,0.342588811759902,0.5232967401324059,0.20573200368725383,0.1908782368222576,0.13705690103075505,0.0963420057816322,0.006934551244448169,0.17045168859465348,0.16270007542110115,0.1702631358417833,0.22749081257656187,0.03998773651016118,0.09071482443643678,0.033876644599011144,0.003224371803424505
92054-2020-01,Oceanside,CA,2161.0,42173.0,34.3,60017.0,277.0,1500.0,897.0,882.0,1482.0,0.4581,4649.0,1111.0,0.4920446731320987,8515.0,8739.0,3342.0,0.06498467552081019,1.7984763641099102,0.29475971987442645,0.16657812122675683,0.5548573732008631,0.20567661774120882,0.10667962914661039,0.13190904132976075,0.136560409287682,0.005501150024897446,0.03499869584805444,0.027553173831598415,0.3650914091954568,0.03902439024390244,0.053480211433394036,0.07104071325255495,0.11303440589950917,0.0055658627087198514
60654-2020-01,Chicago,IL,2153.0,19135.0,33.1,112699.0,372.0,11033.0,13.0,128.0,0.0,0.4846,1296.0,6183.0,0.490253462241965,4079.0,555.0,349.0,0.036617438802346754,0.6847033476963872,0.25959737827715357,0.13139825218476903,0.7931539064541416,0.4189704729553175,0.5200940684609354,0.0333943036320878,0.08700257224996218,0.0002613012803762738,0.0537235432453619,0.12479749150770839,0.052103475307029,0.1621410736579276,0.0929934587632342,0.11899660308335511,0.10859681212437941,0.041004690573460435
33196-2020-01,The Hammocks,FL,1656.0,51752.0,37.0,73853.0,9.0,214.0,34.0,16.0,21.0,0.3986,5138.0,71.0,0.5255835523264801,12044.0,11412.0,1305.0,0.05547477097571615,2.0370662460567823,0.10707921594038555,0.42284950591284626,0.5564615860256609,0.25757458648941106,0.11611145462977276,0.14727933219972175,0.06777168827696832,0.003420157675065698,0.03230793012830422,0.029622043592518164,0.7906361106817128,0.02490685242183703,0.03159080994619747,0.014704745710310713,0.07348508270211779,0.05513968720759257
20747-2020-01,District Heights,MD,1354.0,39946.0,36.2,63261.0,3.0,941.0,25.0,1105.0,15.0,0.3838,4309.0,240.0,0.5485905973063636,8347.0,9585.0,1922.0,0.08834546002497094,1.4893617021276595,0.077521287591672,0.3519220357336221,0.5640364492064287,0.11518049366644971,0.09089771191107995,0.2622290091623692,0.07265087388100602,0.0012266559855805337,0.889625995093376,0.007660341460972313,0.06203374555650128,0.20824924939705666,0.020923924742756277,0.018474941170580284,0.1462975016271967,0.005237196273064978
33461-2020-01,Palm Springs,FL,1479.0,46344.0,35.5,41081.0,7.0,1562.0,728.0,335.0,0.0,0.4083,9173.0,363.0,0.5153849473502503,10853.0,6789.0,3997.0,0.06337088026700041,1.5289028969957081,0.18383305570979086,0.13839533592448638,0.5326471603659589,0.11982133609528742,0.053081305023303986,0.20416882444329362,0.15651337745347588,0.001747799067840497,0.1572803383393751,0.00999050578284136,0.5264327636803038,0.029474366092911347,0.021860659157279933,0.018664767823234937,0.14754876575176937,0.013349171333220205
6790-2020-01,Torrington,CT,900.0,34653.0,44.5,63514.0,0.0,619.0,10.0,1400.0,0.0,0.4013,3326.0,265.0,0.49796554410873517,5711.0,9595.0,5470.0,0.0652345186196754,1.687838400666389,0.3655996686586592,0.21643689722501627,0.5497070960667186,0.17418405332871612,0.11768100885926182,0.2727613770813494,0.13937511201385985,0.0021931723083138547,0.02698179089833492,0.02493290624188382,0.11392952991083023,0.009585231643098041,0.02673459740532591,0.07918506334227916,0.04998124260525784,0.0
94610-2020-01,Oakland,CA,2630.0,31496.0,39.9,96681.0,1391.0,1322.0,115.0,878.0,0.0,0.4737,1988.0,1084.0,0.5313055626111253,4919.0,4875.0,3462.0,0.03199324482807149,1.4203040386246493,0.17019671247642146,0.31177580167070873,0.6763081026162052,0.349504699009398,0.44500889001778005,0.07026289052578105,0.05563770794824399,0.007207264414528829,0.16135382270764542,0.14503429006858012,0.11188722377444756,0.2604149824845055,0.08228174696251818,0.04140208280416561,0.0873761747523495,0.0011090573012939
1902-2020-01,Lynn,MA,1818.0,49172.0,33.0,43956.0,38.0,2216.0,44.0,677.0,6.0,0.4833,9926.0,935.0,0.5087244773448304,12120.0,4498.0,8443.0,0.06362007168458782,1.1805531396764655,0.16820876751706793,0.30825547969816747,0.5331692833319776,0.1264744163344993,0.0505572276905556,0.2031033921744082,0.04596747427812811,0.008053363702920362,0.1312535589359798,0.07955747173187994,0.4708573985194826,0.15630614444843693,0.05352968676951847,0.06491499227202473,0.049133653298625235,0.003318951211417192
19130-2020-01,Philadelphia,PA,1606.0,27410.0,32.9,82632.0,79.0,4120.0,10.0,755.0,9.0,0.4747,3388.0,3745.0,0.5194819408974827,4690.0,5186.0,4853.0,0.04092334306411504,1.003313752071095,0.13179389547380704,0.19480439722409876,0.6977380518059102,0.3041225829989055,0.47347683327252826,0.1018971178402043,0.11261110739824902,0.0026997446187522803,0.18372856621670924,0.07329441809558555,0.05829989055089384,0.19308481238101088,0.06849389123148449,0.12882159795695003,0.09496534111638089,0.042504845285036424
94025-2020-01,Menlo Park,CA,3509.0,42788.0,38.1,151279.0,1261.0,779.0,8.0,2448.0,48.0,0.5199,3326.0,542.0,0.5231139571842572,10425.0,10946.0,2733.0,0.037413415967918334,1.8376102646351242,0.18675694407421228,0.13365676813989444,0.5365289333457979,0.21851921099373656,0.4469477423576704,0.05824062821351781,0.06684958842604141,0.009161447134710666,0.03697298307936805,0.13433672992427784,0.1640646910348696,0.06477581702830944,0.09228034998177179,0.022810133682340843,0.1097737683462653,0.018084310301820904
76107-2020-01,Fort Worth,TX,1324.0,29851.0,36.0,63817.0,132.0,2988.0,0.0,2763.0,30.0,0.5636,4513.0,282.0,0.5286255066831932,4248.0,9941.0,1959.0,0.03526252983293556,1.5574831141130465,0.40728298844396665,0.11723998925020156,0.5764296003483971,0.25124786439315266,0.22026062778466382,0.13734883253492344,0.130878081937836,0.0038189675387759205,0.13366386385715723,0.01708485477873438,0.2437439281766105,0.007054555227089492,0.06050119331742244,0.11483702388529697,0.10415061471977488,0.04795155409998146
18042-2020-01,Easton,PA,1179.0,42357.0,37.3,55003.0,34.0,412.0,61.0,1093.0,0.0,0.4405,5064.0,1157.0,0.5053237953585004,6360.0,11997.0,3964.0,0.05746431726254126,1.6424278449243774,0.2900105708245243,0.17774841437632136,0.5255801874542578,0.14394314989257975,0.10253322945439951,0.24503623958259554,0.13947144075021312,0.002478929102627665,0.11360577944613641,0.031210897844512125,0.18280331468234295,0.03953488372093023,0.044446510762936445,0.053497650919564654,0.1371910191939939,0.005910770105143507
