RegionName,City,State,Rent,total_pop,median_age,median_income,million_dollar_housing_units,dwellings_50_or_more_units,mobile_homes,housing_built_1939_or_earlier,male_60_61,male_62_64,white_including_hispanic,black_including_hispanic,amerindian_including_hispanic,asian_including_hispanic,commute_5_9_mins,commute_35_39_mins,commute_40_44_mins,commute_60_89_mins,commute_90_more_mins,households_retirement_income,armed_forces,gini_index,poverty,walked_to_work,Percent_Female,families_with_young_children_summed,dwellings_1_units,dwellings_under_10_units,unemployment_rate,average_car_per_household,Perc_commuters_under_15_min,Perc_commuters_over_45_min,Percent_pop_25_64,Associates_College_perc,Advanced_degree_perc,HS_perc,Perc_vacat_housing_units,Perc_other_race,Perc_black,Perc_asian,Perc_hispanic,Perc_commuter_by_public_transport,Perc_worked_at_home,Perc_different_house_year_ago_same_city,Perc_different_house_year_ago_dif_city,perc_housing_built_2005_or_later,ESTAB,HIFL_hospital_count,HIFL_transit_station_count,HIFL_uni,HIFL_govbldg
80218-2017-09,Denver,CO,1487.0,19066.0,34.1,52809.0,150.0,2042.0,19.0,709.0,323.0,372.0,16504.0,1228.0,146.0,392.0,1213.0,551.0,399.0,462.0,116.0,920.0,0.0,0.5264,3123.0,1014.0,0.4790726948494702,1952.0,2861.0,2289.0,0.05180486331369884,1.2416035634743876,0.2860487297320732,0.08688112373189978,0.7192384349103116,0.4010804573586489,0.3401867198153782,0.07547466694639672,0.07908770202641728,0.005664533724955418,0.05459981118220917,0.02029791251442358,0.08454841078359382,0.07170727477672766,0.07453556864521975,0.17455155774677436,0.13846637994335467,0.0022151119862170807,754.0,6.0,0.0,0.0,0.0
94538-2017-09,Fremont,CA,2461.0,64696.0,34.9,89874.0,92.0,4560.0,347.0,201.0,597.0,745.0,18805.0,3067.0,380.0,29449.0,1989.0,609.0,1511.0,2617.0,570.0,2180.0,6.0,0.3773,4227.0,525.0,0.4957493508099418,15535.0,13414.0,1374.0,0.0598302767969017,1.875693621057624,0.2202873510957534,0.2559334363917432,0.6048287374799061,0.2263818474094225,0.2415296154321751,0.16316310127364905,0.0422874273255814,0.0077748237912699395,0.047066279213552616,0.4540775318412267,0.2021608754791641,0.10630171865054104,0.0297300375897027,0.05587671571658217,0.07504327933720786,0.0007721656976744187,2713.0,3.0,1.0,1.0,0.0
11379-2015-09,New York,NY,2080.0,35822.0,43.4,69843.0,32.0,289.0,0.0,5132.0,472.0,654.0,30905.0,547.0,28.0,2992.0,426.0,320.0,924.0,2691.0,529.0,2368.0,9.0,0.4295,2881.0,766.0,0.5185081793311372,5563.0,5579.0,7460.0,0.07756036409222218,1.1754835873388043,0.07610544217687075,0.37165937803692906,0.5692870303165652,0.1925632293004299,0.15233655295628384,0.2362514655798113,0.06972939813236999,0.00022332644743453746,0.010719669476857796,0.08330076489308247,0.16397744402880912,0.4153304178814383,0.014171254155992803,0.0560549383060689,0.006197308916308414,0.0016358803080907913,608.0,0.0,1.0,0.0,0.0
90303-2017-09,Inglewood,CA,2012.0,26408.0,30.4,39671.0,9.0,151.0,55.0,1460.0,227.0,282.0,7761.0,8690.0,109.0,218.0,652.0,343.0,479.0,946.0,377.0,1096.0,0.0,0.4456,7645.0,166.0,0.5265449863677674,6703.0,4690.0,2125.0,0.13210296260320545,1.6334106728538282,0.191030230708035,0.2142999204455052,0.4993941229930324,0.08868524689488035,0.03559527415934565,0.1304150257497728,0.05041472265422499,0.001552559830354438,0.3196001211754014,0.008255074219933354,0.6276885792184187,0.09645982498011138,0.02606443257244617,0.03105119660708876,0.07789306270827022,0.0,274.0,0.0,0.0,0.0,0.0
44112-2017-09,East Cleveland,OH,715.0,22465.0,42.7,21608.0,14.0,1897.0,55.0,2128.0,312.0,531.0,1403.0,20366.0,75.0,162.0,381.0,167.0,174.0,232.0,173.0,1884.0,0.0,0.4974,8377.0,261.0,0.5525038949476964,4332.0,7016.0,4578.0,0.2547019445329933,0.9746948496576362,0.2360944976076555,0.14294258373205745,0.49668373024705104,0.10153572223458714,0.05395058980636546,0.239439127531716,0.3425756784968685,0.0033385265969285557,0.9046516803917204,0.00721121744936568,0.006632539505898064,0.1680622009569378,0.015301243226012113,0.043222791008235034,0.10362786556866237,0.0006524008350730689,241.0,0.0,3.0,0.0,0.0
2035-2017-09,Foxborough,MA,1817.0,17243.0,42.8,88766.0,34.0,198.0,70.0,363.0,257.0,320.0,16072.0,346.0,0.0,556.0,871.0,337.0,207.0,921.0,314.0,1236.0,10.0,0.4422,856.0,99.0,0.5062924085135997,3231.0,4352.0,1441.0,0.0624870251193689,1.9466541881141788,0.22243459562776247,0.2724883526460399,0.5512961781592529,0.29983181580931395,0.18163892594096154,0.14162268746737808,0.033323281061519903,0.0008119236791741578,0.020066113785304183,0.032244968972916545,0.02754741054340892,0.05327917811492056,0.04660577122690472,0.0011018964217363568,0.12277445920083513,0.0,606.0,1.0,0.0,0.0,0.0
32207-2018-09,Jacksonville,FL,961.0,34770.0,37.1,42385.0,96.0,1659.0,509.0,2832.0,285.0,645.0,24866.0,6207.0,113.0,2399.0,1543.0,215.0,185.0,283.0,151.0,2368.0,25.0,0.5176,7260.0,315.0,0.5255392579810181,7768.0,10121.0,2596.0,0.07037037037037037,1.4304727575211424,0.2855329143655177,0.05243445692883896,0.571210813920046,0.20543572044866265,0.12148403796376188,0.1713833764739718,0.12975809857030826,0.00365257405809606,0.1738855335058959,0.06899626114466494,0.12401495542134025,0.033200025391988824,0.0447208402432283,0.119384526890998,0.04403221167673282,0.0010858418290402368,1744.0,3.0,3.0,1.0,0.0
64870-2017-09,Webb City,MO,813.0,14393.0,33.3,46833.0,0.0,40.0,160.0,328.0,198.0,64.0,13536.0,221.0,116.0,3.0,850.0,17.0,35.0,150.0,112.0,903.0,2.0,0.41200000000000003,1727.0,79.0,0.4959355242131592,3700.0,5160.0,652.0,0.05543595263724435,1.7673555908850027,0.3334332384234977,0.06368949497976922,0.5000347391092892,0.14903077885083027,0.07489751962759675,0.2208017786423956,0.07891311422063131,0.008059473355103175,0.01535468630584312,0.0,0.07232682554019315,0.002247864528697737,0.032965554359526375,0.015146251650107691,0.11679288543041755,0.00016270745200130165,259.0,0.0,0.0,0.0,0.0
22206-2018-09,Arlington,VA,1898.0,20677.0,35.2,104091.0,31.0,3058.0,15.0,3431.0,172.0,279.0,15342.0,3034.0,115.0,1048.0,488.0,906.0,879.0,736.0,133.0,1148.0,315.0,0.3626,1660.0,279.0,0.5718914736180297,4883.0,4499.0,2097.0,0.055861252350769657,1.425443271000872,0.11630593853500733,0.19933759531695291,0.7168351308216859,0.312521158775451,0.5392948686946849,0.053682836001354164,0.09090108341407556,0.0034821299027905407,0.1435411326594767,0.050684335251728975,0.1469265367316342,0.20241854733112533,0.04248798495507418,0.08289403685254147,0.12767809643565314,0.0013212366775301682,348.0,0.0,0.0,0.0,0.0
10019-2017-09,New York,NY,3678.0,38830.0,39.2,94022.0,579.0,22703.0,0.0,2431.0,233.0,687.0,27740.0,2174.0,127.0,5916.0,1232.0,415.0,1064.0,734.0,510.0,2167.0,0.0,0.5474,4644.0,8787.0,0.5054854493947979,3762.0,292.0,1399.0,0.05700007514841812,0.14978830035427287,0.16120764552562988,0.13501303214596005,0.7085243368529488,0.35748132886943085,0.4828483131599279,0.08202420808653102,0.276642290143134,0.009915014164305949,0.044887973216585116,0.15235642544424413,0.1623744527427247,0.5039096437880104,0.06962500939355226,0.10878186968838527,0.06049446304403811,0.0,4832.0,2.0,7.0,3.0,0.0
